,gene_id,gene_name,gene_length,is_lnc,is_pc,is_mito,is_ribo,gc_content,10x_n_cells,10x_percent_counts,polyT_n_cells,polyT_percent_counts,randO_n_cells,randO_percent_counts,parse_n_cells,parse_percent_counts
29,ENSMUSG00000000148.18,Brat1,10957,False,True,False,False,51.56,307,0.0007992316913094016,302,0.0015823202088662675,498,0.0025061577371004065,527,0.0020037500679907214
32,ENSMUSG00000000149.11,Gna12,4506,False,True,False,False,47.49,203,0.0005182896422430666,94,0.00048800529806155917,207,0.0010052684952921406,199,0.0007389716562802661
33,ENSMUSG00000000167.15,Pih1d2,4947,False,True,False,False,43.52,43,0.0001210957108044548,20,9.858692890132508e-05,12,6.545934387948822e-05,21,7.816046364502814e-05
36,ENSMUSG00000000168.11,Dlat,5522,False,True,False,False,44.1,895,0.0024945716425717685,837,0.004594150886801748,585,0.002997102816196568,928,0.0036984110297488314
39,ENSMUSG00000000171.6,Sdhd,1231,False,True,False,False,45.09,1230,0.0034778688143039414,198,0.0010351627534639135,200,0.001019295497552031,253,0.000980558543910353
40,ENSMUSG00000000184.13,Ccnd2,12354,False,True,False,False,49.26,2550,0.016684567034637783,2988,0.027707856367717415,1547,0.010249062984559871,2883,0.018317970479716596
43,ENSMUSG00000000194.14,Gpr107,14735,False,True,False,False,49.01,1325,0.003591698782460129,1346,0.007729215225863886,1660,0.009234443154427804,1940,0.008363169610018012
46,ENSMUSG00000000204.17,Slfn4,8018,False,True,False,False,43.29999999999999,14,5.328211275396011e-05,16,0.0001380217004618551,27,0.00021508070131831845,23,0.00016697917233256013
47,ENSMUSG00000000223.14,Drp2,11880,False,True,False,False,44.54,13,3.1484884809158245e-05,14,7.394019667599381e-05,77,0.0003974317306968928,54,0.00020961215250257545
50,ENSMUSG00000000244.18,Tspan32,10851,False,True,False,False,53.07,3940,0.013238183105142997,2095,0.012747289906941333,1456,0.008042147962337124,2269,0.009905062392833567
53,ENSMUSG00000000247.12,Lhx2,6679,False,True,False,False,50.0,42,0.0001114080539400984,30,0.0001528097397970539,15,7.013501129945167e-05,28,0.00010302970207753709
56,ENSMUSG00000000253.14,Gmpr,2694,False,True,False,False,48.23,152,0.00040445967408687895,10,4.929346445066254e-05,36,0.00017299969453864745,37,0.00013145168885754732
59,ENSMUSG00000000266.12,Mid2,11105,False,True,False,False,40.18,4,9.687656864356384e-06,1,4.929346445066254e-06,2,9.351334839926889e-06,2,7.1054966950025584e-06
61,ENSMUSG00000000275.17,Trim25,5817,False,True,False,False,48.45000000000001,1128,0.0031170035961066668,1169,0.006610253582833847,2428,0.014779784714504448,2435,0.010960228652041446
62,ENSMUSG00000000276.12,Dgke,14405,False,True,False,False,43.85,1964,0.005846500917639077,6155,0.04960894262314678,4708,0.03453447956385001,6757,0.041393070996737405
64,ENSMUSG00000000278.11,Scpep1,2097,False,True,False,False,47.22,87,0.00031242693387549335,64,0.00033519555826450525,62,0.0003039183822976239,90,0.00035172208640262665
65,ENSMUSG00000000282.13,Mnt,5723,False,True,False,False,56.49,617,0.0016129948679153379,500,0.0026717057732259094,1368,0.007635364896800305,1279,0.0052118818257843764
67,ENSMUSG00000000290.14,Itgb2,4661,False,True,False,False,50.26,1845,0.005301570219019031,632,0.0033766023148703844,2437,0.014639514691905546,2107,0.009098588517950775
69,ENSMUSG00000000295.14,Hddc2,5336,False,True,False,False,42.09,1550,0.004715466978725469,339,0.0018090701453393153,288,0.0014915379069683388,422,0.0016342642398505885
72,ENSMUSG00000000301.17,Pemt,3066,False,False,False,False,49.74,105,0.00026883247798588963,15,7.886954312106007e-05,10,5.143234161959789e-05,11,4.263298017001535e-05
74,ENSMUSG00000000305.13,Cdh4,8213,False,True,False,False,49.53,3,7.265742648267288e-06,2,1.4788039335198764e-05,3,1.4027002259890335e-05,2,1.0658245042503838e-05
77,ENSMUSG00000000308.15,Ckmt1,6057,False,True,False,False,48.09,18,8.718891177920745e-05,2,9.858692890132509e-06,1,4.6756674199634445e-06,2,7.1054966950025584e-06
80,ENSMUSG00000000317.12,Bcl6b,4211,False,True,False,False,51.38,1,2.421914216089096e-06,1,4.929346445066254e-06,2,9.351334839926889e-06,2,7.1054966950025584e-06
82,ENSMUSG00000000318.17,Clec10a,5816,False,True,False,False,47.28,25,0.00012836145345272208,12,6.901085023092755e-05,7,3.272967193974411e-05,12,4.973847686501791e-05
85,ENSMUSG00000000320.11,Alox12,4499,False,True,False,False,48.86,4,1.210957108044548e-05,3,1.4788039335198764e-05,2,9.351334839926889e-06,3,1.0658245042503838e-05
86,ENSMUSG00000000326.14,Comt,4105,False,True,False,False,48.68,929,0.002659261809265827,487,0.0026224123087752473,185,0.0009070794794729083,415,0.0015845257629855706
87,ENSMUSG00000000339.15,Rtca,2705,False,True,False,False,43.09,946,0.0025962920396475106,291,0.0015182387050804063,328,0.0016364835969872055,408,0.0015241290410780489
90,ENSMUSG00000000340.11,Dbt,3800,False,True,False,False,44.05,521,0.00139260067425123,926,0.0051413083422041025,435,0.0022069150222227456,926,0.0036664362946213203
93,ENSMUSG00000000346.10,Dazap2,3384,False,True,False,False,50.58,2470,0.007805829518455156,734,0.0040864282029599245,1468,0.008079553301696832,1493,0.006181782124652226
95,ENSMUSG00000000355.14,Mcts1,2077,False,True,False,False,37.89,2562,0.008091615395953669,736,0.003958265195388202,341,0.0017253212779665113,739,0.0028457514263485247
97,ENSMUSG00000000359.4,Rem1,3446,False,True,False,False,52.13,7,2.9062970593069153e-05,1,4.929346445066254e-06,1,4.6756674199634445e-06,1,3.5527483475012792e-06
99,ENSMUSG00000000365.10,Rnf17,6930,False,True,False,False,38.66,2,4.843828432178192e-06,7,3.4505425115463776e-05,6,2.805400451978067e-05,10,3.552748347501279e-05
103,ENSMUSG00000000374.9,Trappc10,9942,False,True,False,False,48.02,2529,0.007546684697333623,1138,0.006265199331679209,1655,0.009341983505086962,1812,0.007656172688865257
106,ENSMUSG00000000378.16,Ccm2,5776,False,True,False,False,47.75,2558,0.007212460535513328,3133,0.020205391078326574,2932,0.018118211252358348,3914,0.01927721253354194
110,ENSMUSG00000000384.16,Tbrg4,6569,False,False,False,False,51.38,483,0.0012811926203111317,418,0.002168912435829152,965,0.00518531516873946,880,0.003566959340891284
114,ENSMUSG00000000386.19,Mx1,6060,False,False,False,False,46.16,33,9.203274021138565e-05,67,0.00037955967627010157,76,0.0005283504184558693,91,0.0004263298017001535
119,ENSMUSG00000000392.18,Fap,6980,False,True,False,False,38.39,6,1.6953399512623672e-05,24,0.00012323366112665637,16,7.948634613937856e-05,29,0.00010658245042503838
123,ENSMUSG00000000399.11,Ndufa9,2626,False,True,False,False,45.75,2334,0.007110740138437586,304,0.0015971082482014664,486,0.0024453740606408814,530,0.002010855564685724
125,ENSMUSG00000000409.15,Lck,4700,False,True,False,False,48.13,14603,0.08664155916637131,5809,0.04135228732766081,10219,0.1080546740753552,10082,0.07398243158836663
127,ENSMUSG00000000420.16,Galnt1,8962,False,True,False,False,40.82,2085,0.006192834650539818,3520,0.023931976990796664,1715,0.009706685563844112,3433,0.01663041501465349
130,ENSMUSG00000000439.10,Mkrn2,7451,False,True,False,False,47.04,1419,0.003952564000657404,693,0.003687151140909558,748,0.003866776956309769,945,0.0037090692747913353
133,ENSMUSG00000000440.13,Pparg,4146,False,True,False,False,39.51,8,2.421914216089096e-05,6,2.9576078670397527e-05,9,4.2081006779671e-05,8,2.8421986780010234e-05
135,ENSMUSG00000000441.18,Raf1,9744,False,False,False,False,42.75,1360,0.0036304494099175543,1318,0.007448242478495109,2587,0.015574648175898235,2564,0.011521562890946649
138,ENSMUSG00000000486.14,Septin1,4809,False,False,False,False,48.19,11889,0.07108318224221495,3656,0.02394676503013186,4876,0.03524985667910441,5408,0.02924977714497803
141,ENSMUSG00000000489.8,Pdgfb,5304,False,True,False,False,55.39,34,0.00010414231129183113,21,0.00011830431468159011,21,9.818901581923235e-05,24,8.881870868753197e-05
143,ENSMUSG00000000530.17,Acvrl1,6250,False,True,False,False,52.3,149,0.0003923501030064335,42,0.00021689124358291516,108,0.0005330260858758327,112,0.0004192243050051509
146,ENSMUSG00000000531.6,Tamalin,2033,False,True,False,False,55.63,118,0.0003318022476042061,59,0.000310548826039174,131,0.0006452421039549553,131,0.0004902792719551765
147,ENSMUSG00000000532.12,Acvr1b,4418,False,True,False,False,49.44,156,0.00038750627457425534,159,0.0008281302027711307,627,0.0031139945016956543,525,0.0019682225845157083
148,ENSMUSG00000000538.19,Tom1l2,13985,False,False,False,False,46.54,187,0.0004892266716499974,436,0.002292146096955808,1145,0.006237340338231236,1056,0.004259745268654034
150,ENSMUSG00000000552.11,Zfp385a,3833,False,True,False,False,50.68,210,0.0005691498407809375,54,0.0002809727473687765,146,0.0007340797849342608,143,0.000547123245515197
151,ENSMUSG00000000555.9,Itga5,5778,False,False,False,False,50.81,173,0.00044805412997648273,242,0.0012668420363820274,559,0.0028989138003773355,548,0.0021138852667632615
154,ENSMUSG00000000560.10,Gabra2,13403,False,True,False,False,36.51,40,9.929848285965293e-05,74,0.0003746303298250353,5,2.3378337099817223e-05,41,0.000152768178942555
158,ENSMUSG00000000561.15,Wdr77,9040,False,True,False,False,44.83,514,0.0013780691889546956,341,0.0018041407988942492,515,0.0026557790945392367,593,0.002312839174223333
161,ENSMUSG00000000562.6,Adora3,5252,False,True,False,False,45.35,2,7.265742648267288e-06,10,5.422281089572879e-05,4,1.8702669679853778e-05,10,3.552748347501279e-05
163,ENSMUSG00000000563.18,Atp5pb,5791,False,True,False,False,40.23,8615,0.04338374935280397,2036,0.01294939311118905,1020,0.005498584885877011,2036,0.009166090736553301
166,ENSMUSG00000000567.6,Sox9,4135,False,True,False,False,50.95,12,7.992316913094017e-05,4,1.9717385780265017e-05,3,1.4027002259890335e-05,4,1.4210993390005117e-05
167,ENSMUSG00000000568.16,Hnrnpd,12617,False,True,False,False,38.55,7117,0.040915818766609185,5989,0.05058988256571497,4723,0.03676944859059253,6755,0.04347853427672066
170,ENSMUSG00000000579.15,Dynlt1c,6754,False,True,False,False,47.56,780,0.002000501142489593,125,0.0006358856914135468,293,0.0014728352372884851,272,0.0010018750339953607
172,ENSMUSG00000000581.9,C1d,4565,False,True,False,False,37.25,2929,0.008888425173046981,586,0.003282944732414125,334,0.0016458349318271325,625,0.002405210631258366
174,ENSMUSG00000000594.8,Gm2a,4127,False,True,False,False,48.96,599,0.0021191749390779588,244,0.00135557027239322,412,0.002216266357062673,419,0.0016875554650631077
175,ENSMUSG00000000600.16,Krit1,28993,False,False,False,False,36.51,3062,0.009130616594655892,4633,0.03155767594131416,3317,0.020844125358197036,5093,0.026073620122311885
178,ENSMUSG00000000605.10,Clcn4,14271,False,True,False,False,47.23,1264,0.003334975875554685,2235,0.013614854881272993,1399,0.007742905247459465,2427,0.010704430771021354
182,ENSMUSG00000000617.15,Grm6,10019,False,False,False,False,50.24,18,4.6016370105692825e-05,10,5.422281089572879e-05,34,0.00016364835969872056,25,8.881870868753197e-05
184,ENSMUSG00000000627.16,Sema4f,5978,False,True,False,False,47.76,44,0.00010898613972400932,16,8.379888956612631e-05,36,0.0001776753619586109,41,0.00015987367563755756
188,ENSMUSG00000000628.11,Hk2,6858,False,True,False,False,49.08,368,0.001160096909506677,248,0.001281630075717226,153,0.0007621337894540414,249,0.0009521365571303429
190,ENSMUSG00000000631.21,Myo18a,26377,False,True,False,False,51.78,2274,0.00677893789083338,3473,0.0227292164582005,6399,0.05503728120038971,6431,0.039595380332901754
193,ENSMUSG00000000632.14,Sez6,9728,False,True,False,False,51.55,5,1.4531485296534577e-05,14,6.901085023092755e-05,7,3.272967193974411e-05,12,4.263298017001535e-05
197,ENSMUSG00000000673.10,Haao,6109,False,True,False,False,50.919999999999995,100,0.00031242693387549335,24,0.00011830431468159011,49,0.00022910770357820878,46,0.00016342642398505886
200,ENSMUSG00000000682.8,Cd52,1400,False,False,False,False,49.53,17731,0.17349624678375847,765,0.004318107485878039,159,0.0007948634613937856,622,0.0024762655982083917
202,ENSMUSG00000000686.12,Abhd15,3695,False,True,False,False,43.32,135,0.0003487556471168298,65,0.0003204075189293065,328,0.0016271322621472788,273,0.0010089805306903634
203,ENSMUSG00000000708.15,Kat2b,5771,False,False,False,False,43.46,663,0.0017122933507749908,2457,0.014669735020517171,2186,0.012441951004522726,3006,0.01339030852173232
207,ENSMUSG00000000711.4,Rab5b,4396,False,True,False,False,44.42,832,0.0021942542797767205,781,0.004254025982092177,1323,0.007256635835783266,1419,0.005773216064689579
209,ENSMUSG00000000731.16,Aire,6427,False,True,False,False,52.02,28,0.00013320528188490028,5,2.464673222533127e-05,33,0.00023845903841813567,20,0.00011368794712004093
212,ENSMUSG00000000732.10,Icosl,5713,False,True,False,False,49.9,46,0.0001646901666940585,26,0.00014295104690692135,74,0.0004161344003767466,68,0.00028777261614760364
214,ENSMUSG00000000738.19,Spg7,8483,False,True,False,False,48.71,1215,0.003422164787333892,635,0.0034456131651013112,1411,0.007943958946517893,1402,0.005741241329562067
218,ENSMUSG00000000740.13,Rpl13,4265,False,True,False,False,54.34000000000001,39315,0.5968153668713233,4679,0.039355902017408975,914,0.005073099150660338,3838,0.021590051707765272
220,ENSMUSG00000000743.10,Chmp1a,3842,False,True,False,False,53.56,866,0.0022814431915559284,396,0.002099901585598224,602,0.003090616164595837,673,0.002593506293675934
223,ENSMUSG00000000751.14,Rpa1,7183,False,True,False,False,44.89,1237,0.0035989645251083965,1046,0.005875780962518975,1947,0.011544222859889744,1990,0.008757524676590654
226,ENSMUSG00000000753.16,Serpinf1,3982,False,True,False,False,49.44,47,0.00017922165199059308,2,9.858692890132509e-06,3,1.4027002259890335e-05,4,1.4210993390005117e-05
229,ENSMUSG00000000759.15,Tubgcp3,12487,False,False,False,False,46.98,600,0.001591197639970536,2155,0.01287052356806799,2148,0.01312459844783739,2704,0.01271528633570708
232,ENSMUSG00000000766.19,Oprm1,14590,False,False,False,False,40.52,8,1.9375313728712768e-05,3,1.4788039335198764e-05,8,3.7405339359707556e-05,7,2.4869238432508954e-05
235,ENSMUSG00000000776.14,Polr3d,4846,False,True,False,False,51.78,726,0.002172457051831919,406,0.0021393363571587543,394,0.0019731316512245733,542,0.0020783577832882484
237,ENSMUSG00000000782.17,Tcf7,3746,False,True,False,False,53.06,12619,0.08573818516377009,13922,0.1753319237045616,13936,0.2024891289563569,16390,0.18766682596006007
238,ENSMUSG00000000787.13,Ddx3x,6813,False,True,False,False,39.75,3763,0.012717471548683842,9461,0.08573119337259229,7978,0.07006020062073226,10669,0.07835941755248821
241,ENSMUSG00000000791.10,Il12rb1,5205,False,False,False,False,52.9,167,0.0004311007304638591,218,0.0011288203359201723,704,0.003759236605650609,619,0.0024123161279533687
243,ENSMUSG00000000804.15,Usp32,10435,False,True,False,False,39.1,396,0.0010365792844861331,1634,0.00929181804894989,1813,0.010225684647460055,2272,0.009787821697366025
247,ENSMUSG00000000811.15,Txnrd3,2836,False,True,False,False,47.25,33,8.961082599529654e-05,14,6.901085023092755e-05,7,3.272967193974411e-05,12,4.618572851751663e-05
248,ENSMUSG00000000817.11,Fasl,2343,False,True,False,False,41.71,54,0.0001574244240457912,27,0.00014295104690692135,56,0.00029456704745769703,57,0.00021316490085007675
249,ENSMUSG00000000823.17,Zfp512b,13311,False,True,False,False,53.58,491,0.0012787707060950427,883,0.0048899116735057245,1595,0.008813633086631094,1614,0.00680351308546495
253,ENSMUSG00000000826.17,Dnajc5,14456,False,True,False,False,42.98,3194,0.00969734452122074,4095,0.027022677211853207,2702,0.0164489979834314,4346,0.021405308793695205
256,ENSMUSG00000000827.19,Tpd52l2,13600,False,False,False,False,44.51,1690,0.005032737741033141,609,0.00330266211819439,683,0.00348804789529273,882,0.00347103513550875
260,ENSMUSG00000000838.18,Fmr1,14065,False,True,False,False,35.06,2276,0.007423167072313079,3696,0.025435427656541873,2953,0.018506291648215312,4242,0.02197019578094791
263,ENSMUSG00000000861.16,Bcl11a,17794,False,True,False,False,45.53,147,0.0007362619216910852,152,0.001049950792799112,142,0.0009351334839926889,198,0.0010622717559028824
266,ENSMUSG00000000876.12,Pxmp4,3286,False,True,False,False,47.38,1773,0.0053475865891247235,529,0.002814656820132831,423,0.00210405033898355,633,0.002430079869690875
267,ENSMUSG00000000881.13,Dlg3,12679,False,True,False,False,46.89,316,0.0007992316913094016,448,0.0023414395614064706,499,0.00252486040678026,640,0.002440738114733379
270,ENSMUSG00000000884.18,Gnb1l,10233,False,True,False,False,47.730000000000004,388,0.0010220477991895985,65,0.00034012490470957155,146,0.0007434311197741878,146,0.0005435704971676957
274,ENSMUSG00000000901.18,Mmp11,4335,False,False,False,False,53.54,71,0.0001743778235584149,22,0.00011337496823652385,35,0.000168324027118684,44,0.00015632092729005629
277,ENSMUSG00000000902.14,Smarcb1,13461,False,True,False,False,48.04,1990,0.006115333395624967,946,0.005343411546451819,1231,0.006966744455745532,1432,0.006199545866389732
280,ENSMUSG00000000915.16,Hip1r,8495,False,True,False,False,54.589999999999996,162,0.0004093035025190572,190,0.0010203747141287146,437,0.002365887714501503,430,0.0017159774518431176
283,ENSMUSG00000000916.16,Nsun5,8543,False,True,False,False,51.36,606,0.001646901666940585,200,0.0010450214463540459,540,0.0027492924429385053,495,0.0018722983791331742
287,ENSMUSG00000000934.10,Top1mt,2448,False,True,False,False,52.57,55,0.00014289293874925665,26,0.0001281630075717226,43,0.00020105369905842814,40,0.00014210993390005117
289,ENSMUSG00000000942.11,Hoxa4,1594,False,True,False,False,57.27,20,5.086019853787101e-05,5,2.9576078670397527e-05,6,2.805400451978067e-05,7,2.4869238432508954e-05
290,ENSMUSG00000000948.17,Gm38393,5734,False,False,False,False,35.42,4,9.687656864356384e-06,4,1.9717385780265017e-05,4,1.8702669679853778e-05,6,2.1316490085007675e-05
292,ENSMUSG00000000957.12,Mmp14,8075,False,True,False,False,53.13,78,0.00025672290690544416,71,0.00038448902271516776,89,0.00044886407231649073,107,0.0004085660599626471
295,ENSMUSG00000000958.11,Slc7a7,5486,False,True,False,False,47.12,29,9.687656864356384e-05,11,5.422281089572879e-05,20,0.00010286468323919578,19,7.105496695002558e-05
297,ENSMUSG00000000959.8,Oxa1l,5801,False,False,False,False,47.94,2196,0.006527058812360114,689,0.0036772924480194254,1026,0.005395720202637815,1106,0.004401855202554085
299,ENSMUSG00000000976.14,Heatr6,8139,False,True,False,False,45.93,1711,0.004885000973851706,870,0.004737101933708671,1095,0.006008232634653026,1289,0.005279384044386901
302,ENSMUSG00000000982.6,Ccl3,766,False,True,False,False,46.3,26,0.0003318022476042061,1,4.929346445066254e-06,1,4.6756674199634445e-06,2,7.1054966950025584e-06
303,ENSMUSG00000001016.13,Ilf2,10063,False,False,False,False,42.32,3341,0.011741440119599936,2531,0.016242196536493305,1357,0.007728878245199574,2499,0.011784466268661743
305,ENSMUSG00000001018.16,Snapin,7405,False,False,False,False,45.35,367,0.0009687656864356384,287,0.001537956090860671,423,0.002216266357062673,461,0.0017870324187931434
308,ENSMUSG00000001020.9,S100a4,834,False,True,False,False,48.53,346,0.0057714215769403155,35,0.00020210320424771642,6,3.272967193974411e-05,27,0.00010658245042503838
309,ENSMUSG00000001021.14,S100a3,3974,False,True,False,False,49.07,20,5.57040269700492e-05,2,9.858692890132509e-06,2,9.351334839926889e-06,3,1.0658245042503838e-05
311,ENSMUSG00000001025.9,S100a6,1930,False,True,False,False,47.42,559,0.00600150342746878,17,8.379888956612631e-05,6,3.272967193974411e-05,15,6.039672190752174e-05
314,ENSMUSG00000001029.16,Icam2,3018,False,True,False,False,48.84,2276,0.006592450496194518,330,0.0017104832164379904,779,0.0039743173069689275,739,0.0028279876846110186
316,ENSMUSG00000001034.18,Mapk7,14000,False,True,False,False,54.78000000000001,394,0.0010293135418378656,266,0.0013802170046185512,784,0.004035100983428453,708,0.0027675909627034967
318,ENSMUSG00000001036.18,Epn2,9947,False,True,False,False,45.690000000000005,17,4.3594455889603726e-05,20,0.00010351627534639133,19,8.883768097930545e-05,25,8.881870868753197e-05
321,ENSMUSG00000001039.13,B9d1,1995,False,True,False,False,48.78,278,0.0007629029780680652,13,6.40815037858613e-05,13,7.013501129945167e-05,18,6.750221860252431e-05
323,ENSMUSG00000001052.16,Sec24b,8939,False,True,False,False,44.2,1205,0.003344663532419041,1744,0.010184029755506882,3482,0.022532041296803838,3413,0.016339089650158383
326,ENSMUSG00000001053.16,N4bp3,3230,False,True,False,False,56.75,617,0.001596041468402714,191,0.000985869289013251,320,0.0016037539250474615,358,0.0013429388753554835
327,ENSMUSG00000001054.10,Rmnd5b,3405,False,False,False,False,50.38,832,0.0021894104513445426,99,0.000542228108957288,409,0.002085347669303696,352,0.0013216223852704758
330,ENSMUSG00000001056.4,Nhp2,1761,False,True,False,False,50.38,3822,0.019961416969006326,205,0.0011091029501399071,212,0.0010379981672318849,290,0.0010977992393778953
332,ENSMUSG00000001062.19,Vps9d1,10092,False,False,False,False,54.85000000000001,435,0.0011722064805871225,300,0.0015921789017564,767,0.004011722646328636,713,0.002774696459398499
336,ENSMUSG00000001065.16,Zfp276,10958,False,True,False,False,51.54,220,0.0005521964412683139,343,0.001843575570454779,1148,0.006213962001131418,1037,0.00413895182483899
339,ENSMUSG00000001082.13,Mfsd10,10410,False,True,False,False,57.96999999999999,440,0.0011940037085319242,83,0.00044364118005596286,224,0.0010847548414315191,213,0.0007993683781877878
343,ENSMUSG00000001089.15,Luzp1,20648,False,True,False,False,40.42,374,0.0010147820565413312,316,0.0017252712557731889,349,0.0018468886308855607,468,0.0018900621208706805
345,ENSMUSG00000001098.16,Kctd10,7470,False,True,False,False,54.26,435,0.0011407215957779642,161,0.000813342163435932,772,0.00405847932052827,634,0.0024229743729958725
349,ENSMUSG00000001100.11,Poldip2,5088,False,True,False,False,48.81,622,0.0017365124929358817,184,0.0009316464781175221,379,0.0018796183028253045,373,0.0013784663588304964
353,ENSMUSG00000001105.16,Ift20,3137,False,True,False,False,47.18,4197,0.013867880801326163,828,0.004835688862609995,254,0.0012343761988703494,729,0.002913253644951049
355,ENSMUSG00000001120.16,Pcbp3,5243,False,True,False,False,45.07,273,0.0007193085221784615,108,0.000561945494737553,199,0.0009818901581923234,216,0.000813579371577793
358,ENSMUSG00000001123.16,Lgals9,3269,False,True,False,False,48.47,4136,0.016604643865506842,1253,0.0073447262031487185,1123,0.006106421650472259,1564,0.006657850403217398
360,ENSMUSG00000001127.13,Araf,10176,False,False,False,False,42.71,1497,0.004180223936969779,1379,0.007753861958089218,2736,0.016617322010550082,2694,0.012139741103411872
364,ENSMUSG00000001128.8,Cfp,2037,False,True,False,False,47.82,120,0.0005764155834292048,60,0.00033026621181943906,118,0.0005891340949153941,116,0.0004440935434376599
366,ENSMUSG00000001131.12,Timp1,1384,False,True,False,False,46.96,3,9.687656864356384e-06,1,4.929346445066254e-06,7,3.272967193974411e-05,5,1.7763741737506396e-05
367,ENSMUSG00000001134.10,Uxt,2528,False,False,False,False,42.12,1500,0.004531401498302699,145,0.0007492606596500706,88,0.0004254857352166735,158,0.0005790979806427085
370,ENSMUSG00000001138.14,Cnnm3,7303,False,True,False,False,52.739999999999995,831,0.0022112076792893446,800,0.0042638846749823095,829,0.00431564102862626,1043,0.00411052983805898
372,ENSMUSG00000001143.14,Lman2l,9516,False,True,False,False,47.29,1973,0.005873141974016057,1989,0.011825502121713944,2825,0.01764129317552208,3104,0.01452718799293273
375,ENSMUSG00000001150.8,Mcm3ap,8240,False,True,False,False,45.98,934,0.0025381660984613724,1208,0.006753204629740769,2840,0.01793118455555981,2701,0.012512779679899505
379,ENSMUSG00000001151.11,Pcnt,14286,False,False,False,False,47.6,2202,0.007340821988966049,5825,0.04637529135518332,6000,0.05220382674389186,7394,0.04957149769268535
383,ENSMUSG00000001156.10,Mxd1,7934,False,True,False,False,48.43,819,0.0025139469563004815,826,0.004465987879230026,1222,0.006728285417327396,1359,0.005645317124179533
386,ENSMUSG00000001157.14,Gmcl1,7119,False,True,False,False,43.35,912,0.002504259299436125,927,0.005161025727984368,759,0.003932236300189257,1095,0.004448040931071602
388,ENSMUSG00000001158.14,Snrnp27,2315,False,True,False,False,43.33,5286,0.02094229222652241,1233,0.007216563195576997,442,0.0022396446941624903,1134,0.004732260798871704
390,ENSMUSG00000001166.18,Oas1c,3211,False,True,False,False,50.26,115,0.0003100050196594043,63,0.0003154781724842403,70,0.0003506750564972583,80,0.00028777261614760364
392,ENSMUSG00000001173.16,Ocrl,13920,False,True,False,False,42.0,198,0.0005110238995947992,270,0.0013851463510636173,359,0.0017580509499062554,423,0.0015703147695955654
395,ENSMUSG00000001175.17,Calm1,8648,False,True,False,False,47.93,13891,0.10782846472871872,7203,0.06392869404606424,3020,0.01985755953258475,6738,0.04201124920920263
397,ENSMUSG00000001211.16,Agpat3,11911,False,True,False,False,50.47,1939,0.005456572728848733,1198,0.006792639401301298,2518,0.015093054431642,2461,0.010985097890473954
