,gene_id,gene_name,gene_length,is_lnc,is_pc,is_mito,is_ribo,gc_content,10x_H1_n_cells,10x_H1_percent_counts,polyT_H1_n_cells,polyT_H1_percent_counts,randO_H1_n_cells,randO_H1_percent_counts,parse_H1_n_cells,parse_H1_percent_counts
203,ENSG00000008196.13,TFAP2B,6284,False,True,False,False,44.14000000000001,0.0,0.0,2.0,5.899145901009441e-06,1.0,3.986326263105347e-06,1.0,2.648173377393995e-06
204,ENSG00000008197.5,TFAP2D,2267,False,True,False,False,37.24,1.0,3.161967850691878e-06,2.0,5.899145901009441e-06,2.0,7.972652526210693e-06,2.0,5.29634675478799e-06
211,ENSG00000008300.17,CELSR3,17970,False,True,False,False,59.87,25.0,8.221116411798883e-05,21.0,6.489060491110386e-05,262.0,0.0012038705314578147,137.0,0.0003972260066090992
218,ENSG00000008438.5,PGLYRP1,708,False,True,False,False,57.65,0.0,0.0,0.0,0.0,1.0,3.986326263105347e-06,1.0,2.648173377393995e-06
219,ENSG00000008441.19,NFIX,13071,False,True,False,False,55.31,135.0,0.00047113320975308983,150.0,0.0004955282556847931,206.0,0.0010484038071967062,224.0,0.0007044141183868026
223,ENSG00000008710.20,PKD1,37750,False,True,False,False,63.1,199.0,0.0006513653772425268,169.0,0.0005132256933878214,863.0,0.003906599737843239,562.0,0.0016074412400781549
232,ENSG00000009413.17,REV3L,17907,False,False,False,False,36.9,1978.0,0.009261403834676512,5022.0,0.03543027028146271,3529.0,0.025496542778821796,5047.0,0.03246660560685038
233,ENSG00000009694.14,TENM1,13708,False,True,False,False,36.99,156.0,0.0006355555379890676,686.0,0.0030026652636138055,487.0,0.002666852270017477,755.0,0.0029686023560586685
242,ENSG00000009954.11,BAZ1B,8284,False,True,False,False,43.19,1512.0,0.006339745540637216,2327.0,0.009167272730168671,1644.0,0.008219804754523226,2498.0,0.00918121709942498
244,ENSG00000010030.14,ETV7,4068,False,True,False,False,49.34,26.0,0.00010750690692352387,15.0,4.424359425757081e-05,22.0,9.567183031452831e-05,22.0,6.090798768006189e-05
247,ENSG00000010219.14,DYRK4,10978,False,True,False,False,42.77,46.0,0.00016126036038528578,23.0,7.078975081211329e-05,31.0,0.00013154876668247642,33.0,9.268606820878983e-05
263,ENSG00000010438.17,PRSS3,2262,False,False,False,False,42.71,1.0,3.161967850691878e-06,5.0,1.4747864752523603e-05,4.0,1.9931631315526734e-05,6.0,2.118538701915196e-05
268,ENSG00000010704.20,HFE,34579,False,False,False,False,44.85999999999999,1.0,3.161967850691878e-06,20.0,6.194103196059913e-05,24.0,9.567183031452831e-05,23.0,6.355616105745588e-05
272,ENSG00000010932.17,FMO1,7391,False,True,False,False,40.91,2.0,6.323935701383756e-06,1.0,2.9495729505047207e-06,0.0,0.0,1.0,2.648173377393995e-06
276,ENSG00000011028.14,MRC2,11058,False,True,False,False,52.16,37.0,0.0001264787140276751,53.0,0.00017697437703028323,69.0,0.00031093344852221703,69.0,0.0002039093500593376
277,ENSG00000011052.21,NME1-NME2,1583,False,True,False,False,48.85999999999999,7.0,2.213377495484315e-05,4.0,1.1798291802018883e-05,1.0,3.986326263105347e-06,2.0,5.29634675478799e-06
278,ENSG00000011083.9,SLC6A7,4975,False,True,False,False,54.63,0.0,0.0,0.0,0.0,5.0,1.9931631315526734e-05,5.0,1.3240866886969976e-05
288,ENSG00000011275.19,RNF216,9930,False,True,False,False,45.52,3058.0,0.01513634010126202,5399.0,0.030769945019665245,4909.0,0.03590882697805296,5880.0,0.032771145545250686
300,ENSG00000011478.13,QPCTL,9122,False,False,False,False,52.54,404.0,0.0015082586647800257,467.0,0.0015072317777079121,350.0,0.001538721937558664,501.0,0.0014803289179632433
326,ENSG00000013293.6,SLC7A14,10613,False,True,False,False,42.15,0.0,0.0,5.0,1.4747864752523603e-05,4.0,1.5945305052421387e-05,3.0,7.944520132181985e-06
348,ENSG00000014257.17,ACP3,6190,False,True,False,False,40.39,44.0,0.0001739082317880533,52.0,0.00017402480407977854,41.0,0.0001873573343659513,58.0,0.0001668349227758217
353,ENSG00000015133.20,CCDC88C,16002,False,True,False,False,51.25,2688.0,0.012293731003490023,4488.0,0.02202446122141875,5410.0,0.044953801269038994,5587.0,0.029871395697004262
390,ENSG00000019505.8,SYT13,6278,False,True,False,False,46.29,6.0,2.84577106562269e-05,2.0,5.899145901009441e-06,3.0,1.5945305052421387e-05,2.0,5.29634675478799e-06
391,ENSG00000019549.13,SNAI2,5634,False,True,False,False,40.53,0.0,0.0,0.0,0.0,1.0,3.986326263105347e-06,1.0,2.648173377393995e-06
393,ENSG00000019991.18,HGF,13847,False,True,False,False,34.42,8.0,2.5295742805535025e-05,18.0,5.309231310908497e-05,12.0,4.783591515726416e-05,20.0,6.090798768006189e-05
394,ENSG00000019995.6,ZRANB1,6152,False,True,False,False,39.68,1748.0,0.007465406095483525,3124.0,0.013745009949351999,2419.0,0.013565468273347495,3393.0,0.013852594937147989
401,ENSG00000020633.19,RUNX3,5795,False,True,False,False,54.8,4142.0,0.030187307070555357,5076.0,0.034088214588983055,5003.0,0.04864115306241144,5548.0,0.03847531100015735
403,ENSG00000021300.14,PLEKHB1,9859,False,True,False,False,52.93999999999999,227.0,0.0007715201555688182,73.0,0.00022121797128785403,171.0,0.0007454430112006998,143.0,0.0003945778332317053
408,ENSG00000021645.20,NRXN3,38312,False,True,False,False,39.46,28.0,8.85350998193726e-05,66.0,0.0001976213876838163,64.0,0.0002551248808387422,69.0,0.00018537213641757965
418,ENSG00000022840.17,RNF10,12989,False,True,False,False,45.25,2499.0,0.010896141213484213,3052.0,0.012574029488001624,2714.0,0.01488892859269847,3423.0,0.013166718032402944
429,ENSG00000023572.10,GLRX2,7476,False,False,False,False,39.59,384.0,0.0013058927223357458,225.0,0.0007314940917251707,117.0,0.0004903181303619577,226.0,0.0006620433443484988
433,ENSG00000023839.12,ABCC2,10345,False,True,False,False,45.05,20.0,7.588722841660508e-05,122.0,0.0004070410671696515,122.0,0.0005142360879405897,141.0,0.0004237077403830392
435,ENSG00000023902.14,PLEKHO1,10958,False,True,False,False,51.63,456.0,0.0015904698288980144,860.0,0.003041009711970367,754.0,0.0034601311963754406,1028.0,0.0033181612418746757
450,ENSG00000025800.14,KPNA6,10279,False,True,False,False,44.21,1188.0,0.00488207836146826,1646.0,0.0061970527690104185,1410.0,0.006669123838175245,1857.0,0.0063847460128969215
452,ENSG00000026036.23,RTEL1-TNFRSF6B,12515,False,False,False,False,59.83,0.0,0.0,0.0,0.0,11.0,4.384958889415881e-05,4.0,1.059269350957598e-05
453,ENSG00000026103.25,FAS,101597,False,False,False,False,39.26,632.0,0.0025580319912097294,1509.0,0.006586396398477042,866.0,0.004648056422780834,1482.0,0.005979575486155641
461,ENSG00000027075.18,PRKCH,14246,False,True,False,False,42.47999999999999,5168.0,0.049630247384459716,7763.0,0.1026038446562572,7113.0,0.105573864752082,7866.0,0.10266173732143302
462,ENSG00000027644.5,INSRR,5200,False,True,False,False,55.62,0.0,0.0,1.0,2.9495729505047207e-06,6.0,2.391795757863208e-05,4.0,1.059269350957598e-05
472,ENSG00000028839.10,TBPL1,6638,False,True,False,False,37.6,819.0,0.0028394471299213065,503.0,0.0016458617063816342,289.0,0.0012158295102471307,540.0,0.0015412369056433052
476,ENSG00000029534.22,ANK1,18672,False,True,False,False,49.31,87.0,0.00030671088151711215,105.0,0.0003716461917635948,132.0,0.0006776754647279089,133.0,0.00043694860727000917
483,ENSG00000030304.15,MUSK,12105,False,True,False,False,36.28,24.0,0.00011699281047559948,8.0,2.3596583604037766e-05,2.0,7.972652526210693e-06,6.0,1.588904026436397e-05
493,ENSG00000032444.17,PNPLA6,12222,False,True,False,False,55.88,330.0,0.0011636041690546112,237.0,0.0007609898212302179,709.0,0.0032687875357463843,520.0,0.0015385887322659111
498,ENSG00000033100.17,CHPF2,17488,False,True,False,False,56.53,277.0,0.0009169706767006447,66.0,0.0001976213876838163,391.0,0.0016822296830304563,264.0,0.0007388403722929246
502,ENSG00000033327.13,GAB2,12331,False,True,False,False,41.71,579.0,0.003057622911619046,2033.0,0.016529406814628455,1815.0,0.018652020585069918,2164.0,0.01697479134909551
513,ENSG00000034713.8,GABARAPL2,4312,False,True,False,False,47.12,184.0,0.0005912879880793811,704.0,0.0022859190366411584,478.0,0.0021007939406565176,773.0,0.0022641882376718656
521,ENSG00000035687.10,ADSS2,3754,False,True,False,False,38.09,2422.0,0.011139612737987487,4982.0,0.029829031248454242,3641.0,0.024041533692788344,5071.0,0.027829654023033494
547,ENSG00000038295.8,TLL1,10919,False,True,False,False,35.7,5.0,1.580983925345939e-05,8.0,2.3596583604037766e-05,6.0,2.391795757863208e-05,9.0,2.3833560396545954e-05
549,ENSG00000038382.23,TRIO,30340,False,True,False,False,43.38,1105.0,0.007326279510053081,2309.0,0.01868849421439791,2099.0,0.021255091634877706,2495.0,0.01954616769854508
550,ENSG00000038427.16,VCAN,29884,False,True,False,False,37.18,351.0,0.005422774863936571,1436.0,0.031115045054874297,914.0,0.024814880987830783,1398.0,0.02940266900920553
555,ENSG00000039139.11,DNAH5,35600,False,True,False,False,39.64,7.0,2.213377495484315e-05,16.0,5.899145901009441e-05,6.0,2.391795757863208e-05,11.0,3.177808052872794e-05
568,ENSG00000040608.14,RTN4R,5687,False,True,False,False,60.45000000000001,13.0,4.1105582058994414e-05,6.0,2.0647010653533046e-05,15.0,6.776754647279089e-05,11.0,3.177808052872794e-05
569,ENSG00000040633.13,PHF23,8943,False,True,False,False,59.52,151.0,0.0004995909204093167,111.0,0.00033920088930804285,166.0,0.0007255113798851731,153.0,0.0004316522605152212
574,ENSG00000041515.16,MYO16,10636,False,True,False,False,38.48,122.0,0.0005754781488259219,354.0,0.0020617514924027996,231.0,0.001702161314345983,344.0,0.0019755373395359205
588,ENSG00000042781.14,USH2A,21565,False,True,False,False,36.36,13.0,4.1105582058994414e-05,26.0,8.258804261413218e-05,22.0,8.769917778831763e-05,26.0,7.150068118963786e-05
590,ENSG00000042832.12,TG,14812,False,False,False,False,45.9,636.0,0.0025011165698972755,677.0,0.002309515620245196,771.0,0.0036076252681103388,884.0,0.002769989352754119
592,ENSG00000043039.7,BARX2,4053,False,True,False,False,42.77,4.0,5.059148561107005e-05,3.0,8.848718851514161e-06,1.0,3.986326263105347e-06,2.0,5.29634675478799e-06
595,ENSG00000043355.12,ZIC2,3994,False,True,False,False,56.61999999999999,0.0,0.0,1.0,2.9495729505047207e-06,1.0,3.986326263105347e-06,1.0,2.648173377393995e-06
597,ENSG00000043514.17,TRIT1,11596,False,False,False,False,42.31,593.0,0.0023145604667064545,546.0,0.0018729788235704976,467.0,0.002144643529550676,622.0,0.0018907957914593124
598,ENSG00000043591.6,ADRB1,3039,False,True,False,False,58.77,12.0,3.794361420830254e-05,9.0,2.6546156554542485e-05,4.0,1.5945305052421387e-05,9.0,2.648173377393995e-05
609,ENSG00000046653.15,GPM6B,10579,False,True,False,False,41.49,118.0,0.00039524598133648474,61.0,0.00020647010653533044,29.0,0.00015945305052421387,62.0,0.00019596482992715564
616,ENSG00000047315.17,POLR2B,8223,False,True,False,False,40.19,1762.0,0.007114427664056726,3247.0,0.013792203116560074,2046.0,0.010480051745703956,3345.0,0.012864826267380027
619,ENSG00000047410.14,TPR,14634,False,True,False,False,34.16,2851.0,0.013666025050690296,5706.0,0.0354273207085122,3523.0,0.0218450679218173,5610.0,0.03105248102332199
624,ENSG00000047617.18,ANO2,7881,False,False,False,False,44.4,2.0,6.323935701383756e-06,13.0,4.129402130706609e-05,12.0,4.783591515726416e-05,14.0,3.9722600660909924e-05
627,ENSG00000047644.20,WWC3,7480,False,True,False,False,46.3,390.0,0.0013469983043947402,644.0,0.0021885831292745026,516.0,0.002427672694231156,687.0,0.0021609094759535
628,ENSG00000047648.23,ARHGAP6,16665,False,True,False,False,39.23,64.0,0.00028773907441296095,139.0,0.0007786872589332462,101.0,0.0006976070960434356,148.0,0.0007494330658025006
640,ENSG00000048462.11,TNFRSF17,1923,False,True,False,False,40.26,2.0,6.323935701383756e-06,14.0,5.309231310908497e-05,9.0,5.182224142036951e-05,17.0,4.766712079309191e-05
644,ENSG00000048545.18,GUCA1A,3935,False,True,False,False,51.03,1.0,3.161967850691878e-06,0.0,0.0,1.0,3.986326263105347e-06,0.0,0.0
645,ENSG00000048649.14,RSF1,22315,False,True,False,False,39.02,3989.0,0.022823083946293975,5372.0,0.03089677665653695,3474.0,0.02103185736414381,5383.0,0.027758153341843853
646,ENSG00000048707.15,VPS13D,27898,False,True,False,False,42.34,2303.0,0.010289043386151372,5176.0,0.029548821818156292,4538.0,0.03232113334125815,5529.0,0.030416919412747427
653,ENSG00000049192.15,ADAMTS6,13692,False,True,False,False,35.91,333.0,0.0014734770184224152,501.0,0.0023714566522057955,294.0,0.0014908860224013996,516.0,0.002123835048669984
655,ENSG00000049245.13,VAMP3,3073,False,True,False,False,42.69,701.0,0.0024631729556889733,750.0,0.0024953387161269934,570.0,0.002575166765966054,824.0,0.0024919311481277494
657,ENSG00000049247.14,UTS2,2302,False,True,False,False,40.81,41.0,0.00013596461757975074,26.0,7.963846966362746e-05,12.0,4.783591515726416e-05,23.0,6.090798768006189e-05
669,ENSG00000049860.14,HEXB,7658,False,True,False,False,42.11,697.0,0.0027730458050567773,949.0,0.003840343981557146,709.0,0.0036395158782151814,1003.0,0.003617404833520197
671,ENSG00000050030.16,NEXMIF,28438,False,True,False,False,39.49,126.0,0.0007557103163153589,290.0,0.0016901053006392048,226.0,0.0015985168315052441,288.0,0.0016074412400781549
684,ENSG00000050767.18,COL23A1,6556,False,False,False,False,50.61,21.0,7.27252605659132e-05,37.0,0.00014452907457473133,38.0,0.00019134366062905663,45.0,0.0001668349227758217
699,ENSG00000052749.15,RRP12,13007,False,True,False,False,50.49,1639.0,0.00733892738145585,2258.0,0.009146625719515139,3533.0,0.02641738414559913,3250.0,0.01451728645487388
703,ENSG00000052850.8,ALX4,5727,False,True,False,False,52.82,10.0,3.794361420830254e-05,5.0,1.4747864752523603e-05,2.0,7.972652526210693e-06,2.0,5.29634675478799e-06
707,ENSG00000053371.14,AKR7A2,5310,False,True,False,False,51.02,944.0,0.003301094436122321,131.0,0.0003952427753676326,120.0,0.0005381540455192217,158.0,0.0004501894741569792
709,ENSG00000053438.11,NNAT,3057,False,True,False,False,54.15999999999999,0.0,0.0,26.0,7.963846966362746e-05,4.0,1.5945305052421387e-05,21.0,5.825981430266788e-05
710,ENSG00000053501.15,USE1,5526,False,False,False,False,55.4,818.0,0.0029153343583379113,181.0,0.0005604188605958969,114.0,0.00047437282530953624,198.0,0.0005375791956109809
711,ENSG00000053524.13,MCF2L2,25831,False,True,False,False,42.39,235.0,0.000907484773148569,760.0,0.0037105627717349383,590.0,0.0036594475095307077,791.0,0.003699498208219411
712,ENSG00000053702.15,NRIP2,3537,False,True,False,False,51.39000000000001,0.0,0.0,36.0,0.00010618462621816994,26.0,0.00010364448284073902,36.0,9.533424158618382e-05
713,ENSG00000053747.17,LAMA3,17990,False,True,False,False,42.46,58.0,0.00023398562095119896,33.0,0.00011503334506968411,48.0,0.00023120692326011012,57.0,0.00017742761628539768
723,ENSG00000054277.14,OPN3,7092,False,False,False,False,39.62,114.0,0.00045848533835032233,285.0,0.0010294009597261475,207.0,0.0009367866718297564,306.0,0.0010248430970514761
728,ENSG00000054598.9,FOXC1,3983,False,True,False,False,56.26,11.0,3.478164635761066e-05,12.0,3.834444835656137e-05,4.0,1.5945305052421387e-05,13.0,3.707442728351593e-05
730,ENSG00000054654.20,SYNE2,40864,False,True,False,False,41.08,4967.0,0.04009059037892232,8316.0,0.1870088242079003,7214.0,0.11546394021084636,8335.0,0.1626322716258974
733,ENSG00000054796.13,SPO11,3069,False,True,False,False,36.66,0.0,0.0,0.0,0.0,1.0,3.986326263105347e-06,1.0,2.648173377393995e-06
735,ENSG00000054938.17,CHRDL2,4636,False,True,False,False,51.61,1.0,3.161967850691878e-06,2.0,5.899145901009441e-06,0.0,0.0,1.0,2.648173377393995e-06
749,ENSG00000055609.21,KMT2C,133040,False,True,False,False,38.74,4885.0,0.034199844273083355,8206.0,0.08605674040392572,7359.0,0.08494064001424873,8392.0,0.0859491151366995
770,ENSG00000057294.19,PKP2,20722,False,True,False,False,40.78,18.0,8.85350998193726e-05,38.0,0.00017697437703028323,35.0,0.00020330263941837267,39.0,0.00019331665654976162
771,ENSG00000057468.7,MSH4,3270,False,True,False,False,37.01,84.0,0.0002782531708608853,156.0,0.000527973558140345,104.0,0.00045444119399400953,159.0,0.0004925602481952831
785,ENSG00000058335.16,RASGRF1,14491,False,True,False,False,49.94,10.0,3.794361420830254e-05,13.0,4.129402130706609e-05,13.0,5.9794893946580196e-05,18.0,5.825981430266788e-05
790,ENSG00000058673.17,ZC3H11A,29232,False,False,False,False,40.74,31.0,9.802100337144822e-05,85.0,0.0002566128466939107,71.0,0.00028701549094358494,102.0,0.0002701136844941875
814,ENSG00000060558.4,GNA15,3182,False,True,False,False,52.65,204.0,0.0007746821234195102,298.0,0.0010677454080827088,429.0,0.002519358198282579,437.0,0.001631274800474701
821,ENSG00000060749.17,QSER1,15736,False,True,False,False,38.69,572.0,0.0023145604667064545,1022.0,0.003940629461874306,912.0,0.004476644393467304,1181.0,0.0041682248960181485
826,ENSG00000061337.16,LZTS1,6972,False,True,False,False,50.43,7.0,3.161967850691878e-05,8.0,2.6546156554542485e-05,9.0,4.384958889415881e-05,9.0,3.707442728351593e-05
849,ENSG00000063015.21,SEZ6,11957,False,True,False,False,54.21,0.0,0.0,25.0,7.373932376261801e-05,33.0,0.00013952141920868714,36.0,9.798241496357782e-05
851,ENSG00000063127.16,SLC6A16,5523,False,True,False,False,43.07,250.0,0.0009169706767006447,172.0,0.0005456709958433733,201.0,0.0008650327990938602,222.0,0.0006540988242163168
861,ENSG00000063515.3,GSC2,2625,False,True,False,False,64.33,0.0,0.0,0.0,0.0,1.0,3.986326263105347e-06,0.0,0.0
862,ENSG00000063587.15,ZNF275,25275,False,True,False,False,49.09,363.0,0.0012553012367246756,556.0,0.001816936937510908,1055.0,0.005130401900616581,930.0,0.0029050461950012128
872,ENSG00000064195.7,DLX3,3436,False,True,False,False,57.41,1.0,3.161967850691878e-06,1.0,2.9495729505047207e-06,0.0,0.0,0.0,0.0
879,ENSG00000064300.9,NGFR,4893,False,True,False,False,56.75,18.0,5.69154213124538e-05,125.0,0.0004276880778231845,239.0,0.0011321166587219184,227.0,0.0006938214248772267
881,ENSG00000064313.13,TAF2,33021,False,True,False,False,37.5,2005.0,0.009144411024200912,3878.0,0.018779930975863557,2721.0,0.015275602240219689,3953.0,0.017647427386953584
884,ENSG00000064489.23,BORCS8-MEF2B,3711,False,False,False,False,54.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
894,ENSG00000064687.13,ABCA7,17181,False,False,False,False,60.53,559.0,0.001947772196026197,412.0,0.001288963379370563,1388.0,0.006701014448280087,1047.0,0.0031778080528727937
900,ENSG00000064835.12,POU1F1,2198,False,True,False,False,32.38,16.0,5.059148561107005e-05,2.0,5.899145901009441e-06,2.0,1.195897878931604e-05,1.0,2.648173377393995e-06
912,ENSG00000065060.18,BLTP3A,9567,False,True,False,False,42.82,645.0,0.002422067373629979,919.0,0.0031176986086834894,904.0,0.004301246037890669,1071.0,0.00342673635034783
925,ENSG00000065371.18,ROPN1,8944,False,True,False,False,42.25,0.0,0.0,0.0,0.0,2.0,7.972652526210693e-06,1.0,2.648173377393995e-06
932,ENSG00000065526.13,SPEN,25228,False,True,False,False,43.57,2375.0,0.011019457959661196,3882.0,0.01815757108330706,3378.0,0.02019074252262858,4252.0,0.018907957914593126
946,ENSG00000065809.14,FAM107B,21034,False,True,False,False,43.19,5701.0,0.06176587999541515,7261.0,0.09983124608278278,6773.0,0.11482214168248639,7488.0,0.10444925435117394
950,ENSG00000065911.13,MTHFD2,31470,False,True,True,False,43.85,1237.0,0.0047492757117392,1582.0,0.005972885224772059,1177.0,0.005680514924925119,1729.0,0.0058312777770215775
956,ENSG00000066032.19,CTNNA2,12427,False,True,False,False,38.65,27.0,8.537313196868072e-05,51.0,0.00015337779342624547,42.0,0.00016742570305042454,47.0,0.00012446414873751776
964,ENSG00000066230.12,SLC9A3,9421,False,True,False,False,61.24,2.0,6.323935701383756e-06,3.0,8.848718851514161e-06,11.0,4.384958889415881e-05,6.0,1.588904026436397e-05
994,ENSG00000067064.13,IDI1,7954,False,True,False,False,42.88,1887.0,0.00806301801926429,4431.0,0.023449104956512527,2637.0,0.015311479176587636,4480.0,0.021182738845774568
1007,ENSG00000067334.14,DNTTIP2,9659,False,True,False,False,39.28000000000001,1962.0,0.008040884244309446,2757.0,0.011172982336511882,1156.0,0.005433362696612588,2615.0,0.00927919951438856
1019,ENSG00000067798.16,NAV3,21918,False,True,False,False,35.89,31.0,9.802100337144822e-05,64.0,0.00019172224178280682,35.0,0.00014350774547179247,53.0,0.00014300136237927572
1024,ENSG00000067900.9,ROCK1,19286,False,False,False,False,36.94,3919.0,0.02345231554858166,6583.0,0.04565643970086257,4016.0,0.025931052341500282,6413.0,0.0390314274094101
1031,ENSG00000068079.8,IFI35,4022,False,True,False,False,50.91,161.0,0.000543858470319003,228.0,0.0006960992163191141,154.0,0.0006497711808861714,233.0,0.0006540988242163168
1033,ENSG00000068120.15,COASY,11070,False,False,False,False,57.56,240.0,0.0007968158983743533,95.0,0.0002861085761989579,215.0,0.0009048960617249136,190.0,0.000526986502101405
