,gene_id,gene_name,gene_length,gc_content,is_lnc,is_pc,is_mito,is_ribo,is_oxphos,is_pseudo,10x_n_cells,10x_percent_counts,polyT_n_cells,polyT_percent_counts,randO_n_cells,randO_percent_counts,parse_n_cells,parse_percent_counts
85,ENSG00000005194.16,CIAPIN1,1664.0,50.03850886545359,False,True,False,False,False,False,7198.0,0.0001276241946004104,1330.0,4.428503421806903e-05,1371.0,5.4866206496262126e-05,1695.0,4.737463912630123e-05
86,ENSG00000005206.18,SPPL2B,2320.5,65.31053632938676,False,True,False,False,False,False,1042.0,1.2497555854225748e-05,1916.0,6.90766056203096e-05,1733.0,7.549590013885669e-05,2320.0,7.05904412895339e-05
87,ENSG00000005238.21,ATOSB,3024.0,57.99071618037135,False,True,False,False,False,False,246.0,2.804438179220738e-06,49.0,1.1400993160633623e-06,239.0,6.816319301182683e-06,189.0,3.6349705011856175e-06
88,ENSG00000005243.11,COPZ2,765.0,55.784650630011456,False,True,False,False,False,False,4.0,4.4514891733662504e-08,18.0,4.0238799390471607e-07,3.0,7.745817387707595e-08,14.0,2.4004522177640873e-07
89,ENSG00000005249.15,PRKAR2B,3423.0,35.13670738801628,False,True,False,False,False,False,1345.0,1.6503896110255374e-05,683.0,2.1572467451002835e-05,422.0,1.3994110080458387e-05,782.0,1.8980718607606032e-05
90,ENSG00000005302.19,MSL3,2182.5,44.30344302408784,False,True,False,False,False,False,1397.0,1.6893401412924922e-05,663.0,1.895694549062218e-05,566.0,1.9028891382468324e-05,827.0,1.9203617742112697e-05
91,ENSG00000005339.15,CREBBP,535.5,49.06256055810348,False,True,False,False,False,False,5909.0,9.93461096266013e-05,5614.0,0.00047323063572049637,5559.0,0.000672104574731388,6457.0,0.0005527384153147205
92,ENSG00000005379.17,TSPOAP1,1504.0,60.723860589812325,False,True,False,False,False,False,2167.0,2.810002540687446e-05,3196.0,0.00015523234609301936,5699.0,0.0007055406864549924,5507.0,0.00037591081730185605
93,ENSG00000005381.9,MPO,2149.0,57.07006369426752,False,True,False,False,False,False,350.0,4.863251921902629e-06,77.0,2.0790046351743663e-06,246.0,8.339663387431843e-06,218.0,4.612297475560996e-06
95,ENSG00000005436.15,GCFC2,2622.0,39.307708643024,False,True,False,False,False,False,1945.0,2.369305112524187e-05,1798.0,6.945663872566406e-05,1014.0,3.9710223807647603e-05,1851.0,5.735366191729194e-05
96,ENSG00000005448.18,WDR54,1094.0,58.38658146964856,False,True,False,False,False,False,4876.0,7.298216499733968e-05,197.0,4.851010815406855e-06,161.0,4.595851650039839e-06,254.0,4.818050522797918e-06
97,ENSG00000005469.13,CROT,2959.0,40.04569190600522,False,True,False,False,False,False,1228.0,1.5023775960111095e-05,881.0,2.666938204046257e-05,529.0,1.6834243122617838e-05,958.0,2.3078633465074722e-05
98,ENSG00000005471.20,ABCB4,3768.0,45.31885599668405,False,True,False,False,False,False,28.0,3.1160424213563755e-07,7.0,1.5648421985183402e-07,3.0,7.745817387707595e-08,8.0,1.3716869815794784e-07
99,ENSG00000005483.23,KMT2E,1759.0,43.3252427184466,False,True,False,False,False,False,9577.0,0.0002303979508905037,6274.0,0.0005744982808531833,4541.0,0.00037484592278246286,6466.0,0.0004930357394414737
100,ENSG00000005486.18,RHBDD2,1290.5,60.011403138626,False,True,False,False,False,False,2486.0,3.143864228689914e-05,454.0,1.2093994705691744e-05,499.0,1.5594912340584625e-05,631.0,1.3682577641255297e-05
101,ENSG00000005513.11,SOX8,3571.5,64.2554489118803,False,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,2.5819391292358646e-08,0.0,0.0
102,ENSG00000005700.16,IBTK,5602.0,37.75529681236877,False,True,False,False,False,False,3733.0,5.160388824224826e-05,2821.0,0.00013093258223888457,1519.0,6.736279188176372e-05,2832.0,0.00010692300021412034
103,ENSG00000005801.19,ZNF195,742.0,44.07286678203013,False,True,False,False,False,False,3019.0,4.084241316563535e-05,2366.0,0.00010131235490978741,2587.0,0.00014110297341274,3060.0,0.00011928532913560539
104,ENSG00000005810.21,MYCBP2,4291.0,42.81922755606966,False,True,False,False,False,False,10238.0,0.0002840272667066336,7631.0,0.001089823171713823,5980.0,0.000786277923026198,7893.0,0.0009696455272785332
105,ENSG00000005812.12,FBXL3,3259.0,36.58074298711145,False,True,False,False,False,False,1103.0,1.2920447325695542e-05,1258.0,4.298845068215384e-05,906.0,3.2971362680341996e-05,1419.0,3.9453146807679745e-05
106,ENSG00000005844.20,ITGAL,892.5,55.53327995892492,False,True,False,False,False,False,67.0,7.678818824056782e-07,84.0,1.9672301924230564e-06,28.0,8.520399126478354e-07,81.0,1.4402713306584523e-06
107,ENSG00000005882.13,PDK2,1945.0,59.40357852882704,False,True,False,False,False,False,878.0,1.0294068713409454e-05,110.0,2.5931670718303927e-06,306.0,9.501535995587982e-06,284.0,5.538186188127144e-06
108,ENSG00000005884.19,ITGA3,860.0,59.94542974079127,False,True,False,False,False,False,3.0,4.4514891733662504e-08,1.0,2.2354888550262005e-08,4.0,1.0327756516943458e-07,4.0,6.858434907897392e-08
109,ENSG00000005889.17,ZFX,3686.0,42.74381274870048,False,True,False,False,False,False,2751.0,3.7347994164542844e-05,2358.0,0.00010258658355715234,1885.0,8.98514816974081e-05,2677.0,9.810991135747219e-05
110,ENSG00000005893.18,LAMP2,1740.0,41.56591824985608,False,True,False,False,False,False,2039.0,2.5429131902854707e-05,1321.0,4.7034685509751256e-05,1038.0,3.929711354696986e-05,1566.0,4.423690515593818e-05
111,ENSG00000005961.20,ITGA2B,1170.0,60.74004390090938,False,True,False,False,False,False,126.0,1.4244765354772001e-06,86.0,2.1013595237246284e-06,86.0,2.323745216312278e-06,119.0,2.228991345066652e-06
112,ENSG00000005981.14,ASB4,3532.0,41.39450492483152,False,True,False,False,False,False,1.0,1.1128722933415626e-08,6.0,1.3412933130157203e-07,1.0,2.5819391292358646e-08,2.0,3.429217453948696e-08
113,ENSG00000006007.13,GDE1,1928.0,45.680083454000766,False,True,False,False,False,False,3696.0,5.1114224433177974e-05,570.0,1.6229649087490215e-05,489.0,1.6343674688063023e-05,707.0,1.6425951604414252e-05
114,ENSG00000006015.19,REX1BD,753.0,66.93811074918567,False,True,False,False,False,False,6394.0,0.00010951776238774318,484.0,1.2339898479744626e-05,550.0,1.9183807730222476e-05,714.0,1.5208579408262467e-05
115,ENSG00000006016.13,CRLF1,1743.5,66.66311439436731,False,True,False,False,False,False,123.0,1.3688329208101221e-06,133.0,3.2191039512377285e-06,116.0,3.227423911544831e-06,169.0,3.2063183194420307e-06
116,ENSG00000006025.14,OSBPL7,3558.0,61.02620087336245,False,True,False,False,False,False,470.0,5.430816791506826e-06,563.0,1.5335453545479735e-05,1014.0,3.8754906329830334e-05,1038.0,2.4364590010305484e-05
117,ENSG00000006042.13,TMEM98,1509.5,52.08691167931524,False,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,2.5819391292358646e-08,1.0,1.714608726974348e-08
118,ENSG00000006047.14,YBX2,1445.0,63.72430471584038,False,True,False,False,False,False,1.0,1.1128722933415626e-08,5.0,1.1177444275131003e-07,8.0,2.0655513033886917e-07,8.0,1.3716869815794784e-07
119,ENSG00000006059.4,KRT33A,1303.0,60.47582501918649,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.714608726974348e-08
120,ENSG00000006062.19,MAP3K14,4442.0,59.454314720812185,False,True,False,False,False,False,747.0,8.88072090086567e-06,1565.0,5.4702412282491125e-05,1597.0,7.19328241405112e-05,1988.0,6.1022924593017044e-05
121,ENSG00000006071.16,ABCC8,4760.5,57.99367743129578,False,True,False,False,False,False,6.0,6.677233760049375e-08,5.0,1.1177444275131003e-07,7.0,1.8073573904651054e-07,3.0,5.143826180923044e-08
122,ENSG00000006116.5,CACNG3,1871.0,52.18806497023746,False,True,False,False,False,False,39.0,4.340201944032094e-07,37.0,8.494857649099562e-07,25.0,6.971235648936835e-07,35.0,6.686974035199957e-07
123,ENSG00000006118.15,TMEM132A,717.0,67.02809768847504,False,True,False,False,False,False,2.0,2.2257445866831252e-08,1.0,2.2354888550262005e-08,5.0,1.2909695646179324e-07,4.0,6.858434907897392e-08
124,ENSG00000006125.19,AP2B1,3193.0,46.47988115307234,False,True,False,False,False,False,5902.0,9.407109495616229e-05,3464.0,0.00017861555951659343,2705.0,0.000157730661405019,3790.0,0.0001711179509520399
125,ENSG00000006128.13,TAC1,1003.0,40.20409741012756,False,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,2.5819391292358646e-08,1.0,1.714608726974348e-08
126,ENSG00000006194.12,ZNF263,3984.5,51.80192632243964,False,True,False,False,False,False,1777.0,2.191245545589537e-05,722.0,2.085711101739445e-05,1106.0,4.0794638241926665e-05,1183.0,2.8702550089550585e-05
127,ENSG00000006210.7,CX3CL1,3299.0,59.89685942697946,False,True,False,False,False,False,0.0,0.0,0.0,0.0,2.0,5.163878258471729e-08,1.0,1.714608726974348e-08
128,ENSG00000006282.23,SPATA20,2312.0,61.32848763070645,False,True,False,False,False,False,254.0,2.882339239754647e-06,66.0,1.4754226443172923e-06,302.0,8.98514816974081e-06,249.0,4.595151388291252e-06
129,ENSG00000006283.18,CACNA1G,6843.0,61.45184994737893,False,True,False,False,False,False,24.0,2.67089350401975e-07,21.0,4.694526595555021e-07,94.0,2.581939129235865e-06,72.0,1.3202487197702478e-06
130,ENSG00000006327.15,TNFRSF12A,926.5,62.64752896875039,False,True,False,False,False,False,179.0,2.0031701280148127e-06,15.0,3.3532332825393006e-07,36.0,9.811368691096285e-07,30.0,5.315287053620479e-07
131,ENSG00000006377.11,DLX6,1612.0,54.20420420420421,False,True,False,False,False,False,0.0,0.0,1.0,2.2354888550262005e-08,0.0,0.0,0.0,0.0
132,ENSG00000006432.17,MAP3K9,4237.0,54.99567487613661,False,True,False,False,False,False,166.0,1.8696254528138253e-06,412.0,1.149041271483467e-05,374.0,1.1515448516391957e-05,510.0,1.109351846352403e-05
133,ENSG00000006451.9,RALA,2790.5,41.319349922760345,False,True,False,False,False,False,6862.0,0.00011749705673100218,2085.0,8.54850938162019e-05,1351.0,5.520185858306279e-05,2230.0,7.213358914381081e-05
