mouse_symbol,human_symbol
Myo7b,MYO7B
Tslp,TSLP
Gm24848,RNU6-1333P
Gm24384,RNU6-1106P
Onecut2,ONECUT2
Igip,IGIP
Mir122,MIR122
Pcdha1,PCDHA1
Pcdha4,PCDHA4
Pcdha5,PCDHA5
Pcdha9,PCDHA10
Cplx4,CPLX4
Mc4r,MC4R
Chmp1b,CHMP1B
Vma21,VMA21
Kctd16,KCTD16
Snora35,SNORA35
Gm23378,RNU6-221P
Gm23378,RNU6-775P
Gm22266,SNORA17A
Mir448,MIR448
Gm54709,RN7SKP164
Gm54710,MIR544A
Fate1,FATE1
Cnga2,CNGA2
Gpr151,GPR151
Magea4,MAGEA10
Eif3j2,EIF3J
Gabre,GABRE
Spink5,SPINK5
Magea10,MAGEA10
Magee2,MAGEE2
Gm22090,RNU6-904P
Mir105,MIR105-1
Mir105,MIR105-2
Gm14819,SYCP3
Lrch2,LRCH2
Spink14,SPINK14
Ccdc112,CCDC112
Gm54753,RNU6-83P
Hspe1-rs1,HSPE1
Eno1b,ENO1
Magee1,MAGEE1
Gm22259,RNU6-303P
Gm22259,RNU6-555P
Ftmt,FTMT
Gm54851,Y_RNA
Gm26020,RNU2-11P
Gm54867,5_8S_rRNA
Gm26438,Y_RNA
Snora69,SNORA69
Snord58b,SNORD58
Gm23301,SNORD58A
Rnf113a1,RNF113B
Loxhd1,LOXHD1
Gm24491,RNU6-1147P
Rtl3,RTL3
Siglec15,SIGLEC15
Gm25718,RNU6-387P
Gm25718,RNU6-965P
Gm54980,RNVU1-4
Gm54980,RNVU1-3
Gm54980,RNVU1-30
Gm25005,RNU1-124P
Gm25005,RNU1-146P
Gm25005,RNU1-150P
Gm25005,RNU1-139P
Gm17266,C18orf63
Bhmt1b,BHMT
Gm25289,U4
Gm25289,RNU4-90P
Gm25289,RNU4-36P
Gm25289,RNU4-52P
Gm25289,RNU4-81P
Gm25289,RNU4-15P
Gm25797,RNU6-1227P
Gm26108,RNU2-70P
Gm26108,RNU2-5P
Pou3f4,POU3F4
Satl1,SATL1
Mir361,MIR361
Fzd8,FZD8
Gjd4,GJD4
Gm54493,RNU4-61P
Gm24624,RNU1-39P
Cpxcr1,CPXCR1
H2ab2,H2AB2
H2ab2,H2AB3
H2ab2,H2AB1
Gm25834,RNU6-493P
Mir145a,MIR145
Mir143,MIR143
H2ab1,H2AB2
H2ab1,H2AB3
H2ab1,H2AB1
Mc5r,MC5R
Rpl27rt,RPL29
Tgif2lx2,TGIF2LX
Tgif2lx2,TGIF2LY
Tgif2lx1,TGIF2LX
Tgif2lx1,TGIF2LY
Gm26038,RNU6-197P
H2ab3,H2AB2
H2ab3,H2AB3
H2ab3,H2AB1
Marcol,MARCOL
Spink11,SPINK9
Gm54497,RNU6-261P
Skor2,SKOR2
Tex13d,TEX13D
Tex13d,TEX13C
Tex13c1,TEX13D
Tex13c1,TEX13C
Dcaf12l2,DCAF12L2
Gm25078,RNU6-330P
Gm25078,RNU6-1230P
Gm25078,RNU6-432P
Actrt1,ACTRT1
Cldn34a,CLDN34
Arl13a,ARL13A
Snora74a,SNORA74A
Prob1,PROB1
Foxr2,FOXR2
Gm22359,RNU6-1066P
Magea3,MAGEA10
Gm25257,RNU6-908P
Spink7,SPINK7
Bmp15,BMP15
Klhl34,KLHL34
Mir133a-1,MIR133A1
Mir1a-2,MIR1-2
Gpr119,GPR119
Asxl3,ASXL3
Mir500,MIR502
Mir501,MIR501
Mir188,MIR188
Mir532,MIR532
Usp27x,USP27X
Ccdc22,CCDC22
Gm26244,RNU1-91P
Cd14,CD14
Arxes2,SPCS3
Arxes1,SPCS3
Map3k15,MAP3K15
Vaultrc5,Vault
Vaultrc5,VTRNA2-2P
Pcdhb1,PCDHB1
Pcdhb2,PCDHB2
Pcdhb3,PCDHB3
Pcdhb4,PCDHB5
Pcdhb5,PCDHB4
Pcdhb6,PCDHB5
Mir363,MIR363
Pcdhb7,PCDHB4
Mir19b-2,MIR19B2
Pcdhb8,PCDHB5
Pcdhb10,PCDHB5
Pcdhb11,PCDHB5
Pcdhb12,PCDHB5
Pcdhb13,PCDHB6
Pcdhb15,PCDHB7
Pcdhb16,PCDHB13
Pcdhb17,PCDHB16
Pcdhb18,PCDHB10
Pcdhb18,PCDHB9
Pcdhb19,PCDHB12
Pcdhb19,PCDHB11
Pcdhb20,PCDHB14
Gm54832,RN7SKP192
Tex13a,TEX13B
Pcdhb22,PCDHB15
Gm23958,RNU6-1292P
Gm23958,RNU6-619P
Gm23958,RNU6-520P
Gm23958,RNU6-1154P
Gm23958,RNU6-910P
Gm23958,RNU6-482P
Slc25a2,SLC25A2
Ctag2l1,CTAG1A
Ctag2l1,CTAG1B
Ctag2l1,CTAG2
Or13ae2,OR13H1
Frmpd3,FRMPD3
Gm23199,RNU6-196P
Gm25023,RNU6-29P
Gm25851,RNU6-112P
Col4a6,COL4A6
Irs4,IRS4
Gm23901,RNU6-1242P
Gm23901,RNU6-366P
Gm26111,RNU6-842P
Gm23000,RNU1-117P
Gm1140,FAM9B
Gm1140,FAM9C
Gm1140,FAM9A
Gm14692,FAM9B
Gm14692,FAM9C
Gm14692,FAM9A
Mir509,MIR514A2
Mir509,MIR509-3
Mir509,MIR514B
Mir509,MIR509-1
Mir509,MIR514A1
Mir509,MIR514A3
Mir652,MIR652
Gm55105,7SK
Gm55105,RN7SKP88
Gm55142,RNU6-578P
Gm55172,RNU6-260P
Dcaf8l,DCAF8L1
Dcaf8l,DCAF8L2
Ppp4r3c2,PPP4R3C
Mageb6b1,MAGEB6B
Mageb6b1,MAGEB6
Mageb6b2,MAGEB6B
Mageb6b2,MAGEB6
Gm22062,RNU6-441P
Rtl4,RTL4
H2al1o,H2AL1Q
H2al1o,H2AL3
H2ap,H2AP
Sytl5,SYTL5
H2al1a,H2AL1Q
H2al1a,H2AL3
H2al1b,H2AL1Q
H2al1b,H2AL3
H2al1c,H2AL1Q
H2al1c,H2AL3
H2al1d,H2AL1Q
H2al1d,H2AL3
H2al1e,H2AL1Q
H2al1e,H2AL3
H2al1f,H2AL1Q
H2al1f,H2AL3
H2al1g,H2AL1Q
H2al1g,H2AL3
H2al1h,H2AL1Q
H2al1h,H2AL3
H2al1i,H2AL1Q
H2al1i,H2AL3
H2al1j,H2AL1Q
H2al1j,H2AL3
Gm26314,RNU6-737P
Gm26314,RNU6-119P
Gm26314,RNU6-364P
Zc3h12b,ZC3H12B
Mir223,MIR223
Otud6a,OTUD6A
Dgat2l6,DGAT2L6
Awat1,AWAT1
H2al1n,H2AL1Q
H2al1n,H2AL3
P2ry4,P2RY4
Dusp21,DUSP21
Dipk2b,DIPK2B
Gm25812,RNU6-206P
Gm26131,RNU6-652P
Gm5934,SYCP3
Gm4297,SYCP3
Gm5935,SYCP3
Gm5168,SYCP3
Gm10058,SYCP3
Gm10096,SYCP3
Rtl5,RTL5
Cylc1,CYLC1
Ccnb3,CCNB3
Dgkk,DGKK
Vsig1,VSIG1
Rtl8a,RTL8C
Sox3,SOX3
Gm715,HAPSTR2
Gm55604,RN7SKP71
Gm22686,RNU6-158P
Mir504,MIR504
Sowahd,SOWAHD
Gm24809,Metazoa_SRP
Gm24809,RN7SL670P
Gm24809,RN7SL405P
H2bw2,H2BW2
H2bw2,H2BW1
Mir450b,MIR450B
Mir450-1,MIR450A1
Mir450-2,MIR450A2
Mir542,MIR542
Mir322,MIR424
Ubqln2,UBQLN2
Gm25793,RNU6-552P
Bhlhb9,GPRASP3
Gm25107,SNORA35B
Vmn1r239-ps,VN1R5
Gm16405,SYCP3
Gm16430,SYCP3
Gm54807,RN7SKP234
Brs3,BRS3
Snord61,SNORD61
Gpr101,GPR101
Gm22364,RNU6-78P
Styx-ps,STYX
Dmtf1l,DMTF1
Gm22139,RNU6-586P
Cldn34c4,CLDN34
Gm25061,RNU6-636P
Mirlet7f-2,MIRLET7F2
Mir98,MIR98
Pnma5,PNMA5
Pnma3,PNMA3
F8a,F8A1
F8a,F8A2
F8a,F8A3
H2al1m,H2AL1Q
H2al1m,H2AL3
H2al1k,H2AL1Q
H2al1k,H2AL3
Gm24061,SNORA72
Gm25895,RNU6-234P
Tesl1,TES
Kcne5,KCNE5
Ssxb14,SSX4B
Ssxb14,SSX3
Ssxb14,SSX4
Ssxb14,SSX5
Ssxb14,SSX2
Ssxb14,SSX2B
Ssxb14,SSX7
Ssxb14,SSX1
Ssxb10,SSX4B
Ssxb10,SSX3
Ssxb10,SSX4
Ssxb10,SSX5
Ssxb10,SSX2
Ssxb10,SSX2B
Ssxb10,SSX7
Ssxb10,SSX1
Ssxb6,SSX4B
Ssxb6,SSX3
Ssxb6,SSX4
Ssxb6,SSX5
Ssxb6,SSX2
Ssxb6,SSX2B
Ssxb6,SSX7
Ssxb6,SSX1
Ssxb8,SSX4B
Ssxb8,SSX3
Ssxb8,SSX4
Ssxb8,SSX5
Ssxb8,SSX2
Ssxb8,SSX2B
Ssxb8,SSX7
Ssxb8,SSX1
Ssxb13,SSX4B
Ssxb13,SSX3
Ssxb13,SSX4
Ssxb13,SSX5
Ssxb13,SSX2
Ssxb13,SSX2B
Ssxb13,SSX7
Ssxb13,SSX1
Ssxb9,SSX4B
Ssxb9,SSX3
Ssxb9,SSX4
Ssxb9,SSX5
Ssxb9,SSX2
Ssxb9,SSX2B
Ssxb9,SSX7
Ssxb9,SSX1
Ssxb2,SSX4B
Ssxb2,SSX3
Ssxb2,SSX4
Ssxb2,SSX5
Ssxb2,SSX2
Ssxb2,SSX2B
Ssxb2,SSX7
Ssxb2,SSX1
Ssxb15,SSX4B
Ssxb15,SSX3
Ssxb15,SSX4
Ssxb15,SSX5
Ssxb15,SSX2
Ssxb15,SSX2B
Ssxb15,SSX7
Ssxb15,SSX1
Ssxb5,SSX4B
Ssxb5,SSX3
Ssxb5,SSX4
Ssxb5,SSX5
Ssxb5,SSX2
Ssxb5,SSX2B
Ssxb5,SSX7
Ssxb5,SSX1
Ssxb16,SSX4B
Ssxb16,SSX3
Ssxb16,SSX4
Ssxb16,SSX5
Ssxb16,SSX2
Ssxb16,SSX2B
Ssxb16,SSX7
Ssxb16,SSX1
Rtl9,RTL9
Spaca5,SPACA5B
Spaca5,SPACA5
Ccdc120,CCDC120
Kcnd1,KCND1
Asmt,ASMT
Gm22287,RNU6-685P
Gm22287,RNU6-63P
Mir505,MIR505
Gm7073,CXorf66
Tex28,TEX28
Esx1,ESX1
Gm54830,SNORA63
Gm23461,RNU6-653P
Wnk3,WNK3
Gm24263,RNU6-806P
Pabir1,PABIR1
Gm10053,CYCS
Foxd4,FOXD4L1
Foxd4,FOXD4L3
Foxd4,FOXD4L4
Foxd4,FOXD4L6
Foxd4,FOXD4L5
Foxd4,FOXD4
Gm54426,SNORA19
Gm24252,SNORA24B
Gm25176,RNU4-59P
Sts,STS
Adrb1,ADRB1
Catsper1,CATSPER1
Vwa2,VWA2
Tsga10ip,TSGA10IP
Fosl1,FOSL1
Nscme3l,NSMCE3
Ovol1,OVOL1
Rln1,RLN1
Rln1,RLN2
Kcnk18,KCNK18
Emx2,EMX2
Nanos1,NANOS1
Snora19,SNORA19
Ranbp6,RANBP6
Trpd52l3,TPD52L3
Dkk1,DKK1
Gm54631,RN7SKP49
Gm54631,RN7SKP287
Cstf2t,CSTF2T
Gm61610,RBBP8P1
Gm46683,SPIN2B
Gm46683,SPIN2A
Spin2f,SPIN2B
Spin2f,SPIN2A
Spin2e,SPIN2B
Spin2e,SPIN2A
Spin2j,SPIN2B
Spin2j,SPIN2A
Spin2-ps10,SPIN2B
Spin2-ps10,SPIN2A
Spin2h,SPIN2B
Spin2h,SPIN2A
Lipf,LIPF
Spin2-ps8,SPIN2B
Spin2-ps8,SPIN2A
Ankrd22,ANKRD22
Spin2g,SPIN2B
Spin2g,SPIN2A
Gm14332,SPIN2B
Gm14332,SPIN2A
Ch25h,CH25H
Gm25431,RNU6-191P
Spin2-ps1,SPIN2B
Spin2-ps1,SPIN2A
Gm23940,RNU6-359P
Pde6c,PDE6C
Spin2-ps9,SPIN2B
Spin2-ps9,SPIN2A
Spin2-ps2,SPIN2B
Spin2-ps2,SPIN2A
Gm22351,RNU6-537P
Spin2-ps4,SPIN2B
Spin2-ps4,SPIN2A
Gm54784,RN7SKP35
Ppp4r3c1,PPP4R3C
Hemgnl,HEMGN
Cxcr3,CXCR3
Gm3858,CXorf49B
Gm3858,CXorf49
Phex,PHEX
Slc22a19,SLC22A9
Frat1,FRAT1
Frat2,FRAT2
Gm23113,RNU6-1135P
4933411K16Rik,C10orf62
Hpse2,HPSE2
Gm55012,RNA5SP172
Nkx2-3,NKX2-3
Gm24336,SNORA12
Lrrc10b,LRRC10B
Pkd2l1,PKD2L1
Vwce,VWCE
Spin2-ps7,SPIN2B
Spin2-ps7,SPIN2A
Zp1,ZP1
Ptgdr2,PTGDR2
Hps6,HPS6
Or4d10,OR4D10
Or5an9,OR5AN1
Or5an1c,OR5AN1
Gm24521,RNU6-552P
Or5b21,OR5B21
Or5b12b,OR5B12
Or5b96,OR5B3
Or5b97,OR5B3
Or5b104,OR5B3
Or5b105,OR5B3
Or5b106,OR5B3
Or10w1,OR10W1
Or10w3,OR10W1
Or10q1,OR10Q1
Or10q12,OR10Q1
Or1s2,OR1S2
Or1s2,OR1S1
Or9q2,OR9Q2
Or9i14,OR9I1
Or9i1,OR9I1
Or9i1b,OR9I1
Gm55236,RNU4-78P
Gm55236,RNU4-35P
Gm55236,RNU4-70P
Gm55236,RNU4-17P
Gm22684,SNORA71
Calhm1,CALHM1
Calhm3,CALHM3
Col17a1,COL17A1
Gm24805,RNU6-433P
Gm24805,RNU6-1265P
Gm25644,RNU6-698P
Ins1,INS
Nutf2-ps1,NUTF2
Mir204,MIR204
Aldh3b3,ALDH3B2
Snord3b-ps1,U3
Cabp4,CABP4
Gpr152,GPR152
Znhit2,ZNHIT2
Gm55610,RNU6-946P
Or5b99,OR5B2
Or5b100,OR5B3
Or5b101,OR5B3
Or5b107,OR5B3
Or5b108,OR5B3
Or5b109,OR5B3
Gm22443,RNU6-629P
Or5b111,OR5B3
Or5b112,OR5B3
Or5b113,OR5B3
Or5b3,OR5B3
Sfrp5,SFRP5
Snora57,SNORA57
Plpp6,PLPP6
Rnls,RNLS
Rom1,ROM1
Ms4a18,MS4A18
Ms4a8a,MS4A8
Ms4a14,MS4A14
Gm54641,RN7SKP295
1810009A15Rik,C11orf98
Ccdc87,CCDC87
Gm54401,RNU6-155P
Cd248,CD248
Gm22365,RNU5E-4P
Mplkipl1,MPLKIP
Fhip2a,FHIP2A
Gm22113,RNU6-18P
Gm22113,RNU6-17P
Gm54579,RN7SKP33
Vax1,VAX1
Kcnv2,KCNV2
Gm23655,RNU6-586P
Krtap8-1,KRTAP8-1
Krtap7-1,KRTAP7-1
Krtap11-1,KRTAP11-1
Mir484,MIR484
Btnl12,BTN3A1
Gm25617,SNORA17A
Drd3,DRD3
Cebpd,CEBPD
Or7a40,OR7A5
Or7a40,OR7A17
Or7a40,OR7A10
Slc9c1,SLC9C1
Gm54503,RN7SKP53
Gm54505,RN7SKP67
Gm54505,RN7SKP277
Gm54505,RN7SKP298
Retnlb,RETNLB
Zpld1,ZPLD1
Gm23003,RNU6-481P
Ccdc188,CCDC188
Adgrg7,ADGRG7
Gpr15,GPR15
Gm24142,RNU6-206P
Or5k1b,OR5K1
Or5k1b,OR5K2
AF357341,SNORD114-1
AF357341,SNORD114-13
AF357341,SNORD114-3
AF357341,SNORD114-16
AF357341,SNORD114-11
Gm22981,SNORD114-1
Gm22981,SNORD114-13
Gm22981,SNORD114-3
Gm22981,SNORD114-16
Gm22981,SNORD114-11
Gm25856,SNORD114-1
Gm25856,SNORD114-13
Gm25856,SNORD114-3
Gm25856,SNORD114-16
Gm25856,SNORD114-11
Or5k1,OR5K1
Or5k1,OR5K2
Gm23787,SNORD114-14
Or5k14,OR5K3
Gm25854,SNORD114-21
Gm22205,SNORD114-23
Gm22205,SNORD114-24
Or5k16,OR5K4
Gm25224,SNORD114-30
Mir299a,MIR299
Mir323,MIR323A
Mir494,MIR494
Or5h18,OR5H1
Or5h18,OR5H15
Or5h18,OR5H8
Or5h18,OR5H2
Or5h18,OR5H14
Or5h18,OR5H6
Or5h19,OR5H1
Or5h19,OR5H15
Or5h19,OR5H8
Or5h19,OR5H2
Or5h19,OR5H14
Or5h19,OR5H6
Mir381,MIR381
Or5h22,OR5H1
Or5h22,OR5H15
Or5h22,OR5H8
Or5h22,OR5H2
Or5h22,OR5H14
Or5h22,OR5H6
Or5h23,OR5H1
Or5h23,OR5H15
Or5h23,OR5H8
Or5h23,OR5H2
Or5h23,OR5H14
Or5h23,OR5H6
Mir382,MIR382
Mir134,MIR134
Mir668,MIR668
Mir154,MIR154
Mir496a,MIR496
Mir377,MIR377
Or5h25,OR5H1
Or5h25,OR5H15
Or5h25,OR5H8
Or5h25,OR5H2
Or5h25,OR5H14
Or5h25,OR5H6
Mir541,MIR541
Gm54371,MIR409
Mir409,MIR409
Mir412,MIR412
Mir410,MIR410
Gm24859,RNU6-8
Gm24859,RNU6-7
Or5k3,OR5K3
Gm23296,RNU6-8
Gm23296,RNU6-7
Or5h26,OR5H1
Or5h26,OR5H15
Or5h26,OR5H8
Or5h26,OR5H2
Or5h26,OR5H14
Or5h26,OR5H6
Or5ac16,OR5AC2
Or5ac17,OR5AC2
Or5ac19,OR5AC2
Gabrr3,GABRR3
Epha6,EPHA6
Plp2rt,PLP2
Gm24164,RNU6-290P
Stx19,STX19
Iglc1,IGLL1
Iglc1,IGLC2
Iglc1,IGLC3
Iglc1,IGLC1
Iglc1,IGLL5
Iglc1,IGLC7
Iglc3,IGLL1
Iglc3,IGLC2
Iglc3,IGLC3
Iglc3,IGLC1
Iglc3,IGLL5
Iglc3,IGLC7
Zfp457,ZNF727
Zfp457,ZNF695
Zfp457,ZNF738
Zfp457,ZNF85
Zfp457,ZNF681
Zfp457,ZNF682
Zfp457,ZNF736
Zfp457,ZNF678
Zfp457,ZNF724
Iglc4,IGLL1
Iglc4,IGLC2
Iglc4,IGLC3
Iglc4,IGLC1
Iglc4,IGLL5
Iglc4,IGLC7
Iglc2,IGLL1
Iglc2,IGLC2
Iglc2,IGLC3
Iglc2,IGLC1
Iglc2,IGLL5
Iglc2,IGLC7
Iglv3,IGLV4-3
Gm54435,RN7SKP57
Gm54481,RN7SKP183
Csnk2a2ip,CSNK2A2IP
Ttc6,TTC6
Gm54750,RN7SKP2
Gm22448,RNU6-24P
Gm22973,RNU2-23P
Irf2bpl,IRF2BPL
Mir203,MIR203B
Kif26a,KIF26A
Gm22797,SNORA71
Gm25699,RNU1-129P
Gm25699,RNU1-154P
Gm25699,RNU1-65P
Gm25699,RNU1-114P
Gm25699,RNU1-151P
Samsn1,SAMSN1
H1f2,H1-2
H2ac4,H2AC8
H3c2,H3C14
H1f1,H1-1
Gm25038,SNORA75
Gm25038,SNORA75B
Trim38,TRIM38
Gm54838,RN7SKP236
Samd15,SAMD15
Gm23104,RNU6-882P
Slc17a1,SLC17A1
Cldn17,CLDN17
Cldn8,CLDN8
Krtap24-1,KRTAP24-1
Gm54874,RNU6-542P
Krtap26-1,KRTAP26-1
Krtap27-1,KRTAP27-1
Krtap13-1,KRTAP13-4
Krtap13-1,KRTAP13-1
Krtap13-1,KRTAP13-2
Krtap13,KRTAP13-3
Krtap13-20,KRTAP13-3
Krtap13-21,KRTAP13-3
Gm23059,RNU6-240P
Krtap13-24,KRTAP13-3
Krtap15-1,KRTAP15-1
Gm54555,RN7SKP64
H2bc1,H2BC1
Gm24750,RNU6-410P
Gm24750,RNU6-769P
H2ac1,H2AC1
Fscb,FSCB
Sox11,SOX11
Slx4,SLX4
Gm25970,SNORD127
Igha,IGHA2
Igha,IGHA1
Ighe,IGHE
Gm22013,RNU6-248P
Gm54563,RN7SKP43
Dnase1,DNASE1
Hdgfl1,HDGFL1
Prl3d2,PRL
Prl3d3,PRL
Prl3b1,PRL
Ighm,IGHM
Prl3a1,PRL
Gm25599,RNU6-758P
Prl6a1,PRL
Gm55001,RNU6-889P
Map3k13,MAP3K13
Prl2b1,PRL
Mageb5,MAGEB5
Prl8a9,PRL
Mageb1,MAGEB6B
Mageb1,MAGEB6
Gm26159,RNU6-176P
Prl8a1,PRL
Gm55036,RN7SKP167
Gm55036,RN7SKP231
Gm55036,RN7SKP134
Gm55036,RN7SKP63
Gm55036,RN7SKP290
Gm55036,RN7SKP131
Gm55036,RN7SKP146
Gm55036,RN7SKP172
Gm55036,RN7SKP221
Prl7b1,PRL
Crygs,CRYGS
Gm25805,RNU6-1333P
Prl7a2,PRL
Gm55060,RNU6-706P
Tes3-ps,DCUN1D1
Tekt5,TEKT5
Prl7c1,PRL
Prl2a1,PRL
Snord2,SNORD2
Gm24201,SNORA63B
Snora81,SNORA81
Gm26447,SNORA63
Gm24616,SNORA4
Prl2c1,PRL
Gm55086,RN7SKP265
Rtp1,RTP1
Gm22476,RNU6-700P
Prl4a1,PRL
Mir28a,MIR28
Gm24145,RNU1-23P
Sox4,SOX4
Gm24928,RNU6-47P
Gm25776,SNORA79
Tmem207,TMEM207
Gm23206,RNU2-21P
Gm26256,RNU2-11P
Spata31e3,SPATA31D3
Spata31e3,SPATA31D1
Spata31e3,SPATA31D4
Uts2b,UTS2B
Mir193b,MIR193B
