"category","over_represented_pvalue_wal","numDEInCat","numInCat","over_represented_pvalue_naive","db","padj_wal","padj_naive","classification"
"GO_Biological_Process_2026::Positive Regulation of JNK Cascade (GO:0046330)",0.000539969341872023,19,73,0.000664187283358576,"GO_Biological_Process_2026",0.160532885338552,0.197462879342505,"n.s."
"GO_Biological_Process_2026::Regulation of Bone Remodeling (GO:0046850)",0.000634326956155752,6,11,0.000750626912039917,"GO_Biological_Process_2026",0.179605146728672,0.198557553542295,"n.s."
"GO_Molecular_Function_2026::Phosphatidylinositol-3,5-bisphosphate Phosphatase Activity (GO:0106018)",0.000656904497981086,7,14,0.000524911539344051,"GO_Molecular_Function_2026",0.112606760133951,0.0908753102489389,"n.s."
"GO_Molecular_Function_2026::ADP Binding (GO:0043531)",0.000789356077728357,10,28,0.000934581622929315,"GO_Molecular_Function_2026",0.112606760133951,0.107866295646425,"n.s."
"GO_Cellular_Component_2026::Early Endosome Membrane (GO:0031901)",0.000816731015082343,26,115,0.000814914431685428,"GO_Cellular_Component_2026",0.0803536531450847,0.0792471223437376,"n.s."
"GO_Biological_Process_2026::Positive Regulation of Myotube Differentiation (GO:0010831)",0.000826165863721261,4,5,0.000893726881844509,"GO_Biological_Process_2026",0.201000890257929,0.204388463055671,"n.s."
"GO_Cellular_Component_2026::Endosome Membrane (GO:0010008)",0.00084661452640048,69,400,0.000816870704957937,"GO_Cellular_Component_2026",0.0803536531450847,0.0792471223437376,"n.s."
"GO_Biological_Process_2026::Regulation of Telomere Capping (GO:1904353)",0.000848342024609584,6,11,0.000750626912039917,"GO_Biological_Process_2026",0.201000890257929,0.198557553542295,"n.s."
"GO_Biological_Process_2026::Regulation of Osteoclast Differentiation (GO:0045670)",0.000863983811915622,12,37,0.000801443202996144,"GO_Biological_Process_2026",0.201000890257929,0.198557553542295,"n.s."
"GO_Molecular_Function_2026::Histone H3K9 Demethylase Activity (GO:0032454)",0.000865738696778422,6,11,0.000750626912039917,"GO_Molecular_Function_2026",0.112606760133951,0.107866295646425,"n.s."
"GO_Biological_Process_2026::Phosphatidylinositol-mediated Signaling (GO:0048015)",0.000869488274938538,9,23,0.000784126994059801,"GO_Biological_Process_2026",0.201000890257929,0.198557553542295,"n.s."
"GO_Biological_Process_2026::Regulation of Glycolytic Process (GO:0006110)",0.000878914084545267,12,38,0.00104651561906771,"GO_Biological_Process_2026",0.201000890257929,0.211760725355793,"n.s."
"GO_Molecular_Function_2026::Phosphatidylinositol Binding (GO:0035091)",0.000894349719475427,17,63,0.0008058770753304,"GO_Molecular_Function_2026",0.112606760133951,0.107866295646425,"n.s."
"GO_Cellular_Component_2026::Bounding Membrane of Organelle (GO:0098588)",0.000945337095824526,129,838,0.000932319086396913,"GO_Cellular_Component_2026",0.0803536531450847,0.0792471223437376,"n.s."
"GO_Biological_Process_2026::Negative Regulation of miRNA Metabolic Process (GO:2000629)",0.000976509857388703,9,24,0.00112372032533727,"GO_Biological_Process_2026",0.212307487052861,0.214385678344116,"n.s."
"GO_Biological_Process_2026::Negative Regulation of Macroautophagy (GO:0016242)",0.00103441127305588,10,28,0.000934581622929315,"GO_Biological_Process_2026",0.212307487052861,0.205815641849545,"n.s."
"GO_Biological_Process_2026::Negative Regulation of Sodium Ion Transmembrane Transport (GO:1902306)",0.00103547210301597,4,5,0.000893726881844509,"GO_Biological_Process_2026",0.212307487052861,0.204388463055671,"n.s."
"GO_Molecular_Function_2026::Phosphatidylinositol Phosphate Binding (GO:1901981)",0.00109596999821311,31,148,0.00107151214229416,"GO_Molecular_Function_2026",0.11742193633802,0.114157255159801,"n.s."
"GO_Molecular_Function_2026::Phosphatidylinositol Monophosphate Phosphatase Activity (GO:0052744)",0.00110215535912943,7,15,0.000883782054536676,"GO_Molecular_Function_2026",0.11742193633802,0.107866295646425,"n.s."
"GO_Biological_Process_2026::Post-Golgi Vesicle-Mediated Transport (GO:0006892)",0.00115874871049741,13,43,0.00103574490284974,"GO_Biological_Process_2026",0.229663994420587,0.211760725355793,"n.s."
"GO_Biological_Process_2026::Organelle Organization (GO:0006996)",0.00130072068884086,67,391,0.00115377425277694,"GO_Biological_Process_2026",0.230801725163701,0.214385678344116,"n.s."
"GO_Biological_Process_2026::Protein auto-ADP-ribosylation (GO:0070213)",0.00141730408315777,6,12,0.00135092398180721,"GO_Biological_Process_2026",0.230801725163701,0.22081233147971,"n.s."
"GO_Biological_Process_2026::Positive Regulation of MAPK Cascade (GO:0043410)",0.00142516942885301,51,285,0.00167756257509633,"GO_Biological_Process_2026",0.230801725163701,0.237494930274352,"n.s."
"GO_Biological_Process_2026::Golgi Organization (GO:0007030)",0.00142809909915046,26,117,0.00106841940139149,"GO_Biological_Process_2026",0.230801725163701,0.211760725355793,"n.s."
"GO_Biological_Process_2026::Regulation of Organelle Assembly (GO:1902115)",0.00148886514471736,20,83,0.00138175737375499,"GO_Biological_Process_2026",0.230801725163701,0.22081233147971,"n.s."
"GO_Biological_Process_2026::Positive Regulation of Hydrolase Activity (GO:0051345)",0.00149277255036009,16,61,0.00157630611935143,"GO_Biological_Process_2026",0.230801725163701,0.23431790464159,"n.s."
"GO_Biological_Process_2026::Peptidyl-serine Phosphorylation (GO:0018105)",0.00150044821949719,11,34,0.00134503470258862,"GO_Biological_Process_2026",0.230801725163701,0.22081233147971,"n.s."
"GO_Biological_Process_2026::Monocyte Differentiation (GO:0030224)",0.00150057533959789,7,16,0.00141117870774117,"GO_Biological_Process_2026",0.230801725163701,0.22081233147971,"n.s."
"GO_Biological_Process_2026::Regulation of Dephosphorylation (GO:0035303)",0.00153328918741731,6,12,0.00135092398180721,"GO_Biological_Process_2026",0.230801725163701,0.22081233147971,"n.s."
"GO_Biological_Process_2026::Semaphorin-plexin Signaling Pathway (GO:0071526)",0.00160678170194183,11,36,0.00225925190684827,"GO_Biological_Process_2026",0.230801725163701,0.254050268595198,"n.s."
"GO_Molecular_Function_2026::Taste Receptor Activity (GO:0008527)",0.00162028317350123,6,12,0.00135092398180721,"GO_Molecular_Function_2026",0.160292299664229,0.133644979628785,"n.s."
"GO_Biological_Process_2026::Positive Regulation of Protein-Containing Complex Assembly (GO:0031334)",0.00162153968233443,22,96,0.00165091631065307,"GO_Biological_Process_2026",0.230801725163701,0.237494930274352,"n.s."
"GO_Biological_Process_2026::Regulation of Rho Protein Signal Transduction (GO:0035023)",0.00163028463788689,18,73,0.00178171875381907,"GO_Biological_Process_2026",0.230801725163701,0.240774993413822,"n.s."
"GO_Cellular_Component_2026::Recycling Endosome (GO:0055037)",0.00166587853855474,31,152,0.00168372291220799,"GO_Cellular_Component_2026",0.121371150666131,0.122671240746582,"n.s."
"GO_Biological_Process_2026::Energy Reserve Metabolic Process (GO:0006112)",0.00168919859441353,7,16,0.00141117870774117,"GO_Biological_Process_2026",0.232097478030403,0.22081233147971,"n.s."
"GO_Biological_Process_2026::Macroautophagy (GO:0016236)",0.00171750572373658,34,170,0.00147026070180696,"GO_Biological_Process_2026",0.232097478030403,0.22415820853703,"n.s."
"GO_Biological_Process_2026::Regulation of Bone Resorption (GO:0045124)",0.00197856641285662,9,26,0.00215543547204996,"GO_Biological_Process_2026",0.255513930492392,0.254050268595198,"n.s."
"GO_Biological_Process_2026::Regulation of Myotube Differentiation (GO:0010830)",0.00199694719984902,7,17,0.0021552314459263,"GO_Biological_Process_2026",0.255513930492392,0.254050268595198,"n.s."
"GO_Biological_Process_2026::Regulation of Epithelial Cell Migration (GO:0010632)",0.00201970311690926,12,40,0.00172438257011839,"GO_Biological_Process_2026",0.255513930492392,0.238446017719161,"n.s."
"GO_Biological_Process_2026::Wound Healing, Spreading of Cells (GO:0044319)",0.00207321241325731,9,26,0.00215543547204996,"GO_Biological_Process_2026",0.256819187692249,0.254050268595198,"n.s."
"GO_Biological_Process_2026::Negative Regulation of Telomere Maintenance (GO:0032205)",0.0022161240758086,7,17,0.0021552314459263,"GO_Biological_Process_2026",0.268919872546081,0.254050268595198,"n.s."
"GO_Molecular_Function_2026::Transcription Coactivator Binding (GO:0001223)",0.00228771072721609,11,36,0.00225925190684827,"GO_Molecular_Function_2026",0.204253379978198,0.177015778765397,"n.s."
"GO_Biological_Process_2026::Vacuolar Transport (GO:0007034)",0.00231095972215582,10,31,0.00226449112605878,"GO_Biological_Process_2026",0.268921718467795,0.254050268595198,"n.s."
"GO_Biological_Process_2026::Regulation of Long-Chain Fatty Acid Import Across Plasma Membrane (GO:0010746)",0.00239150074575465,4,6,0.00242837530436285,"GO_Biological_Process_2026",0.268921718467795,0.267391102958176,"n.s."
"GO_Molecular_Function_2026::Histone H3 Methyltransferase Activity (GO:0140938)",0.00239159364264732,11,36,0.00225925190684827,"GO_Molecular_Function_2026",0.204253379978198,0.177015778765397,"n.s."
"GO_Biological_Process_2026::Detection of Chemical Stimulus Involved in Sensory Perception of Bitter Taste (GO:0001580)",0.00239704861735505,6,13,0.00225827610196461,"GO_Biological_Process_2026",0.268921718467795,0.254050268595198,"n.s."
"GO_Biological_Process_2026::Sensory Perception of Bitter Taste (GO:0050913)",0.00239704861735505,6,13,0.00225827610196461,"GO_Biological_Process_2026",0.268921718467795,0.254050268595198,"n.s."
"GO_Biological_Process_2026::Osteoclast Differentiation (GO:0030316)",0.00247614747435971,8,22,0.00265729516273905,"GO_Biological_Process_2026",0.27265134967672,0.287277764320843,"n.s."
"GO_Biological_Process_2026::Positive Regulation of ATP Metabolic Process (GO:1903580)",0.00252703557065301,9,26,0.00215543547204996,"GO_Biological_Process_2026",0.273195518238233,0.254050268595198,"n.s."
"GO_Biological_Process_2026::Regulation of Lipid Metabolic Process (GO:0019216)",0.00258338509287116,12,42,0.00272678976083976,"GO_Biological_Process_2026",0.274300138610927,0.289526641392022,"n.s."
"GO_Molecular_Function_2026::UDP Phosphatase Activity (GO:0045134)",0.00264593222489367,4,6,0.00242837530436285,"GO_Molecular_Function_2026",0.204253379978198,0.177015778765397,"n.s."
"GO_Molecular_Function_2026::Phosphatidylinositol-3-phosphate Phosphatase Activity (GO:0004438)",0.00272587048586347,6,13,0.00225827610196461,"GO_Molecular_Function_2026",0.204253379978198,0.177015778765397,"n.s."
"GO_Molecular_Function_2026::Syntaxin-1 Binding (GO:0017075)",0.00280203192749874,4,6,0.00242837530436285,"GO_Molecular_Function_2026",0.204253379978198,0.177015778765397,"n.s."
"GO_Molecular_Function_2026::Semaphorin Receptor Activity (GO:0017154)",0.00298513599409309,5,10,0.00351714258015511,"GO_Molecular_Function_2026",0.206720667590947,0.221420112432492,"n.s."
"GO_Cellular_Component_2026::Golgi Membrane (GO:0000139)",0.00304238316000995,74,456,0.00295687036118413,"GO_Cellular_Component_2026",0.193951926450634,0.188500485525489,"n.s."
"GO_Biological_Process_2026::Cardiac Muscle Cell Differentiation (GO:0055007)",0.00305848658250806,7,18,0.00316914714441509,"GO_Biological_Process_2026",0.31024389744778,0.324892222770554,"n.s."
"GO_Biological_Process_2026::Regulation of Alcohol Biosynthetic Process (GO:1902930)",0.00307557393194738,6,14,0.00355829952393004,"GO_Biological_Process_2026",0.31024389744778,0.346846704414557,"n.s."
"GO_Biological_Process_2026::Plasma Membrane Bounded Cell Projection Morphogenesis (GO:0120039)",0.00307843759660596,13,48,0.00310590863049296,"GO_Biological_Process_2026",0.31024389744778,0.323995310823003,"n.s."
"GO_Biological_Process_2026::Canonical NF-kappaB Signal Transduction (GO:0007249)",0.0031752314501111,11,38,0.00362136959419218,"GO_Biological_Process_2026",0.31466543670601,0.347301025920431,"n.s."
"GO_Molecular_Function_2026::RNA Polymerase II-specific DNA-binding Transcription Factor Binding (GO:0061629)",0.00364042921477912,37,198,0.00324799679148319,"GO_Molecular_Function_2026",0.24009497440329,0.221420112432492,"n.s."
"GO_Biological_Process_2026::Positive Regulation of T-helper 17 Cell Differentiation (GO:2000321)",0.00373691841113033,5,10,0.00351714258015511,"GO_Biological_Process_2026",0.364257653648868,0.346846704414557,"n.s."
"GO_Biological_Process_2026::Negative Regulation of Autophagosome Assembly (GO:1902902)",0.00403144013922048,5,10,0.00351714258015511,"GO_Biological_Process_2026",0.386628113996855,0.346846704414557,"n.s."
"GO_Molecular_Function_2026::Phosphatidylinositol-3,5-bisphosphate 3-Phosphatase Activity (GO:0052629)",0.00412137494104621,5,10,0.00351714258015511,"GO_Molecular_Function_2026",0.259459286061318,0.221420112432492,"n.s."
"GO_Biological_Process_2026::Negative Regulation of Extrinsic Apoptotic Signaling Pathway (GO:2001237)",0.00453933533168242,15,61,0.00427570886368246,"GO_Biological_Process_2026",0.428426791780693,0.40354547465803,"n.s."
"GO_Molecular_Function_2026::R-SMAD Binding (GO:0070412)",0.0046411702421695,7,19,0.0045101525303131,"GO_Molecular_Function_2026",0.278295381597926,0.25396473472737,"n.s."
"GO_Biological_Process_2026::Cardiac Muscle Hypertrophy (GO:0003300)",0.00472637910468884,4,7,0.00513430510640171,"GO_Biological_Process_2026",0.439110158694997,0.435060770109086,"n.s."
"GO_Molecular_Function_2026::Histone Reader Activity (GO:0140566)",0.00498880750412153,11,39,0.00451341433618715,"GO_Molecular_Function_2026",0.278295381597926,0.25396473472737,"n.s."
"GO_Cellular_Component_2026::Pinosome (GO:0044352)",0.00500669262718731,4,7,0.00513430510640171,"GO_Cellular_Component_2026",0.283712582207281,0.29094395602943,"n.s."
"GO_Biological_Process_2026::Positive Regulation of Glycolytic Process (GO:0045821)",0.00505628432353932,7,19,0.0045101525303131,"GO_Biological_Process_2026",0.45552525132977,0.406323741594571,"n.s."
"GO_Biological_Process_2026::Positive Regulation of Purine Nucleotide Catabolic Process (GO:0033123)",0.00505628432353932,7,19,0.0045101525303131,"GO_Biological_Process_2026",0.45552525132977,0.406323741594571,"n.s."
"GO_Biological_Process_2026::Regulation of Vacuole Organization (GO:0044088)",0.00513898580384019,7,19,0.0045101525303131,"GO_Biological_Process_2026",0.456065814770654,0.406323741594571,"n.s."
"GO_Molecular_Function_2026::Nuclear Receptor Binding (GO:0016922)",0.00517216582081773,22,104,0.00471978961776,"GO_Molecular_Function_2026",0.278295381597926,0.25396473472737,"n.s."
"GO_Biological_Process_2026::Positive Regulation of Canonical NF-kappaB Signal Transduction (GO:0043123)",0.00551597472366647,37,203,0.00498162042703396,"GO_Biological_Process_2026",0.458479166335149,0.435060770109086,"n.s."
"GO_Biological_Process_2026::Alanine Transport (GO:0032328)",0.00554817583851915,4,7,0.00513430510640171,"GO_Biological_Process_2026",0.458479166335149,0.435060770109086,"n.s."
"GO_Biological_Process_2026::Cardiac Cell Development (GO:0055006)",0.00556799919770155,5,11,0.00582257230358445,"GO_Biological_Process_2026",0.458479166335149,0.438240695153331,"n.s."
"GO_Molecular_Function_2026::Aryl Hydrocarbon Receptor Binding (GO:0017162)",0.00558682324752974,4,7,0.00513430510640171,"GO_Molecular_Function_2026",0.278295381597926,0.25396473472737,"n.s."
"GO_Biological_Process_2026::Regulation of Hemopoiesis (GO:1903706)",0.00559644818747524,6,15,0.00534131117019227,"GO_Biological_Process_2026",0.458479166335149,0.435060770109086,"n.s."
"GO_Molecular_Function_2026::DEAD/H-box RNA Helicase Binding (GO:0017151)",0.00560143860930865,4,7,0.00513430510640171,"GO_Molecular_Function_2026",0.278295381597926,0.25396473472737,"n.s."
"GO_Molecular_Function_2026::GDP Phosphatase Activity (GO:0004382)",0.00562618822003028,4,7,0.00513430510640171,"GO_Molecular_Function_2026",0.278295381597926,0.25396473472737,"n.s."
"GO_Biological_Process_2026::Regulation of JNK Cascade (GO:0046328)",0.00566059748950221,22,106,0.00597929614797019,"GO_Biological_Process_2026",0.458479166335149,0.444411186197885,"n.s."
"GO_Biological_Process_2026::Detection of Chemical Stimulus Involved in Sensory Perception of Taste (GO:0050912)",0.00575458904558913,6,15,0.00534131117019227,"GO_Biological_Process_2026",0.458479166335149,0.435060770109086,"n.s."
"GO_Biological_Process_2026::Regulation of Transcription by RNA Polymerase II (GO:0006357)",0.00578976963521656,245,1793,0.0068745231561198,"GO_Biological_Process_2026",0.458479166335149,0.498486764466931,"n.s."
"GO_Biological_Process_2026::Cytoplasmic Microtubule Organization (GO:0031122)",0.00581352711083427,14,57,0.00574140649609935,"GO_Biological_Process_2026",0.458479166335149,0.438240695153331,"n.s."
"GO_Biological_Process_2026::Response to Progesterone (GO:0032570)",0.00590159728308204,5,11,0.00582257230358445,"GO_Biological_Process_2026",0.458479166335149,0.438240695153331,"n.s."
"GO_Biological_Process_2026::Intracellular Sterol Transport (GO:0032366)",0.00600323546531592,6,15,0.00534131117019227,"GO_Biological_Process_2026",0.458479166335149,0.435060770109086,"n.s."
"GO_Biological_Process_2026::Endosomal Vesicle Fusion (GO:0034058)",0.00601435838784756,6,15,0.00534131117019227,"GO_Biological_Process_2026",0.458479166335149,0.435060770109086,"n.s."
"GO_Biological_Process_2026::Reg of Calcium Ion Transmembrane Transport via High Voltage-Gated Calcium Channel (GO:1902514)",0.00610097348986924,5,11,0.00582257230358445,"GO_Biological_Process_2026",0.459194789503323,0.438240695153331,"n.s."
"GO_Molecular_Function_2026::Phosphatidylinositol-3-phosphate Binding (GO:0032266)",0.00619142728568533,11,41,0.00681519956268849,"GO_Molecular_Function_2026",0.295694027264627,0.325484530838744,"n.s."
"GO_Biological_Process_2026::Regulation of Intracellular Transport (GO:0032386)",0.00637202251054503,14,57,0.00574140649609935,"GO_Biological_Process_2026",0.473600573096259,0.438240695153331,"n.s."
"GO_Biological_Process_2026::Glucan Metabolic Process (GO:0044042)",0.00653769469478585,5,11,0.00582257230358445,"GO_Biological_Process_2026",0.479915217965391,0.438240695153331,"n.s."
"GO_Molecular_Function_2026::DNA-binding Transcription Factor Binding (GO:0140297)",0.00670447759582988,43,250,0.00761867577430926,"GO_Molecular_Function_2026",0.305036934176357,0.34398890474236,"n.s."
"GO_Molecular_Function_2026::Neuropilin Binding (GO:0038191)",0.00682754148697984,6,16,0.00769939064766293,"GO_Molecular_Function_2026",0.305036934176357,0.34398890474236,"n.s."
"GO_Biological_Process_2026::Protein Localization to Microtubule Organizing Center (GO:1905508)",0.00699942780968427,7,20,0.00623827178742339,"GO_Biological_Process_2026",0.507543875077837,0.457935358617524,"n.s."
"GO_Biological_Process_2026::Regulation of Actin Filament-Based Process (GO:0032970)",0.00726723388410869,18,85,0.00988271995585748,"GO_Biological_Process_2026",0.520614128613377,0.603635872874826,"n.s."
"GO_Cellular_Component_2026::Golgi-associated Vesicle (GO:0005798)",0.00773608678437612,11,41,0.00681519956268849,"GO_Cellular_Component_2026",0.354077889324225,0.342972603727972,"n.s."
"GO_Molecular_Function_2026::Transcription Corepressor Binding (GO:0001222)",0.00793036041572796,12,48,0.00878842018167203,"GO_Molecular_Function_2026",0.334298423646727,0.367294130720834,"n.s."
"GO_Molecular_Function_2026::MAP Kinase Kinase Kinase Activity (GO:0004709)",0.00796523319880288,7,21,0.00841499962404176,"GO_Molecular_Function_2026",0.334298423646727,0.364211702478057,"n.s."
"GO_Biological_Process_2026::Monocarboxylic Acid Biosynthetic Process (GO:0072330)",0.00820643080089278,13,53,0.00772393529568404,"GO_Biological_Process_2026",0.564183458612734,0.53402929381555,"n.s."
"GO_Biological_Process_2026::Negative Regulation of Lipid Storage (GO:0010888)",0.00820880805566345,6,16,0.00769939064766293,"GO_Biological_Process_2026",0.564183458612734,0.53402929381555,"n.s."
"GO_Biological_Process_2026::Regulation of Canonical NF-kappaB Signal Transduction (GO:0043122)",0.00828962696877108,47,279,0.00805225134080263,"GO_Biological_Process_2026",0.564183458612734,0.550329729567959,"n.s."
"GO_Biological_Process_2026::Sarcomere Organization (GO:0045214)",0.00839243392911783,7,21,0.00841499962404176,"GO_Biological_Process_2026",0.564183458612734,0.562197615332048,"n.s."
"GO_Biological_Process_2026::Autophagy of Peroxisome (GO:0030242)",0.00844472381710954,6,16,0.00769939064766293,"GO_Biological_Process_2026",0.564183458612734,0.53402929381555,"n.s."
"GO_Biological_Process_2026::Pexophagy (GO:0000425)",0.00844472381710954,6,16,0.00769939064766293,"GO_Biological_Process_2026",0.564183458612734,0.53402929381555,"n.s."
"GO_Cellular_Component_2026::Trans-Golgi Network Membrane (GO:0032588)",0.0085040999619844,22,109,0.00837631835340415,"GO_Cellular_Component_2026",0.354077889324225,0.342972603727972,"n.s."
"GO_Biological_Process_2026::Actin Filament Organization (GO:0007015)",0.00873749056013392,27,144,0.0103562382860798,"GO_Biological_Process_2026",0.569596545591094,0.603635872874826,"n.s."
"GO_Biological_Process_2026::Membrane Fission (GO:0090148)",0.00887418910803073,11,42,0.00826592562140903,"GO_Biological_Process_2026",0.569596545591094,0.558513565282933,"n.s."
"GO_Molecular_Function_2026::Histone H3K4 Methyltransferase Activity (GO:0042800)",0.00888074506282268,5,12,0.00901660681913962,"GO_Molecular_Function_2026",0.361759762117924,0.367294130720834,"n.s."
"GO_Cellular_Component_2026::Polymeric Cytoskeletal Fiber (GO:0099513)",0.0088918552211752,41,239,0.00941493421998353,"GO_Cellular_Component_2026",0.354077889324225,0.342972603727972,"n.s."
"GO_Biological_Process_2026::Macropinocytosis (GO:0044351)",0.00890282477921931,4,8,0.00930902873027057,"GO_Biological_Process_2026",0.569596545591094,0.576577966981133,"n.s."
"GO_Biological_Process_2026::Negative Regulation of Small Molecule Metabolic Process (GO:0062014)",0.00890892679784253,7,22,0.0111019283726497,"GO_Biological_Process_2026",0.569596545591094,0.603635872874826,"n.s."
"GO_Cellular_Component_2026::Macropinosome (GO:0044354)",0.0092718123426887,4,8,0.00930902873027057,"GO_Cellular_Component_2026",0.354077889324225,0.342972603727972,"n.s."
"GO_Biological_Process_2026::Wound Healing, Spreading of Epidermal Cells (GO:0035313)",0.00962221317516294,5,12,0.00901660681913962,"GO_Biological_Process_2026",0.608151079302715,0.576577966981133,"n.s."
