,gene_id,gene_name,gene_length,is_lnc,is_pc,is_mito,is_ribo,gc_content
493,ENSMUSG00000001225.13,Slc26a3,8190,False,True,False,False,42.02
496,ENSMUSG00000001227.13,Sema6b,5119,False,True,False,False,56.44
497,ENSMUSG00000001228.15,Uhrf1,5306,False,True,False,False,52.44
499,ENSMUSG00000001229.10,Dpp9,9296,False,False,False,False,54.169999999999995
501,ENSMUSG00000001240.14,Ramp2,5618,False,True,False,False,48.62
504,ENSMUSG00000001247.17,Lsr,4204,False,True,False,False,50.38
505,ENSMUSG00000001248.16,Gramd1a,7458,False,True,False,False,52.21999999999999
508,ENSMUSG00000001249.15,Hpn,6376,False,True,False,False,51.93999999999999
511,ENSMUSG00000001260.11,Gabrg1,10912,False,True,False,False,35.86
513,ENSMUSG00000001270.10,Ckb,5703,False,False,False,False,61.92
515,ENSMUSG00000001280.14,Sp1,11575,False,True,False,False,42.07
516,ENSMUSG00000001281.11,Itgb7,3672,False,True,False,False,49.54
518,ENSMUSG00000001285.13,Myg1,5863,False,True,False,False,49.42
521,ENSMUSG00000001288.16,Rarg,6011,False,True,False,False,53.53000000000001
523,ENSMUSG00000001289.13,Pfdn5,3285,False,True,False,False,47.43
526,ENSMUSG00000001300.17,Efnb2,8149,False,True,False,False,45.21
528,ENSMUSG00000001305.6,Rrp15,4214,False,True,False,False,45.2
530,ENSMUSG00000001313.13,Rnd2,2341,False,False,False,False,54.98
532,ENSMUSG00000001323.18,Srr,14923,False,False,False,False,43.41
535,ENSMUSG00000001333.10,Sync,3222,False,True,False,False,47.2
537,ENSMUSG00000001334.11,Fndc5,3243,False,True,False,False,54.05
538,ENSMUSG00000001348.16,Acp5,3321,False,True,False,False,52.330000000000005
540,ENSMUSG00000001349.6,Cnn1,3867,False,True,False,False,51.989999999999995
542,ENSMUSG00000001366.15,Fbxo9,5263,False,True,False,False,44.0
544,ENSMUSG00000001376.18,Vps50,13305,False,True,False,False,39.55
547,ENSMUSG00000001380.8,Hars1,3356,False,True,False,False,44.1
550,ENSMUSG00000001383.10,Zmat2,2871,False,True,False,False,45.66
552,ENSMUSG00000001403.14,Ube2c,2778,False,True,False,False,50.81
553,ENSMUSG00000001415.11,Smg5,9464,False,True,False,False,49.12
557,ENSMUSG00000001416.14,Cct3,9402,False,True,False,False,43.27
559,ENSMUSG00000001418.14,Glmp,13516,False,True,False,False,51.67999999999999
562,ENSMUSG00000001419.18,Mef2d,9027,False,True,False,False,52.660000000000004
565,ENSMUSG00000001420.14,Tmem79,6094,False,True,False,False,51.49
566,ENSMUSG00000001424.15,Snd1,10915,False,True,False,False,43.79
570,ENSMUSG00000001435.16,Col18a1,8838,False,True,False,False,50.81
571,ENSMUSG00000001436.16,Slc19a1,7709,False,True,False,False,52.38
573,ENSMUSG00000001440.6,Kpnb1,7010,False,True,False,False,44.10999999999999
575,ENSMUSG00000001441.14,Npepps,12655,False,True,False,False,41.18
579,ENSMUSG00000001444.3,Tbx21,2488,False,True,False,False,48.47
580,ENSMUSG00000001445.11,Mrpl10,2117,False,True,False,False,48.68
581,ENSMUSG00000001467.6,Cyp51,5410,False,True,False,False,42.39
584,ENSMUSG00000001472.18,Tcf25,10582,False,True,False,False,50.22
586,ENSMUSG00000001473.8,Tubb6,2669,False,True,False,False,48.34
588,ENSMUSG00000001482.16,Def8,6970,False,True,False,False,49.55
589,ENSMUSG00000001493.10,Meox1,2228,False,True,False,False,51.14
590,ENSMUSG00000001494.7,Sost,2066,False,True,False,False,55.62
591,ENSMUSG00000001496.16,Nkx2-1,3228,False,True,False,False,58.61
592,ENSMUSG00000001497.19,Pax9,9794,False,True,False,False,43.49
594,ENSMUSG00000001504.11,Irx2,5075,False,True,False,False,54.25
597,ENSMUSG00000001506.11,Col1a1,6934,False,True,False,False,53.92
600,ENSMUSG00000001507.17,Itga3,6749,False,True,False,False,50.82
602,ENSMUSG00000001508.16,Sgca,2644,False,True,False,False,50.93
603,ENSMUSG00000001510.9,Dlx3,2607,False,True,False,False,55.54
604,ENSMUSG00000001517.15,Foxm1,9118,False,False,False,False,50.28
607,ENSMUSG00000001518.13,Itfg2,11057,False,True,False,False,47.25
610,ENSMUSG00000001520.13,Nrip2,6837,False,True,False,False,50.09
614,ENSMUSG00000001521.13,Tulp3,11080,False,True,False,False,46.91
617,ENSMUSG00000001524.15,Gtf2h4,6365,False,True,False,False,52.46
621,ENSMUSG00000001525.11,Tubb5,4990,False,True,False,False,51.62
623,ENSMUSG00000001542.8,Ell2,11535,False,True,False,False,40.06
626,ENSMUSG00000001552.15,Jup,9346,False,False,False,False,52.25
628,ENSMUSG00000001555.11,Fkbp10,4478,False,True,False,False,52.02
631,ENSMUSG00000001558.6,Klhl10,2949,False,True,False,False,46.03
632,ENSMUSG00000001566.11,Mnx1,2245,False,True,False,False,54.09
633,ENSMUSG00000001569.11,Nom1,9460,False,True,False,False,44.93
635,ENSMUSG00000001576.16,Ergic1,13150,False,True,False,False,50.43
639,ENSMUSG00000001583.14,Tnk1,4970,False,True,False,False,52.86
640,ENSMUSG00000001588.13,Acap1,6396,False,False,False,False,49.9
643,ENSMUSG00000001604.15,Tcea3,1761,False,False,False,False,49.96
645,ENSMUSG00000001622.16,Csn3,6662,False,True,False,False,34.15
647,ENSMUSG00000001627.13,Ifrd1,8311,False,True,False,False,41.54
650,ENSMUSG00000001630.14,Stk38l,5957,False,True,False,False,42.34
651,ENSMUSG00000001632.17,Brpf1,14840,False,True,False,False,48.33
653,ENSMUSG00000001642.19,Akr1b1,10224,False,False,False,False,49.81
655,ENSMUSG00000001655.7,Hoxc13,2461,False,True,False,False,47.74
656,ENSMUSG00000001656.4,Hoxc11,2021,False,True,False,False,57.1
657,ENSMUSG00000001657.8,Hoxc8,4091,False,True,False,False,50.16
659,ENSMUSG00000001661.6,Hoxc6,3015,False,False,False,False,49.24
661,ENSMUSG00000001663.11,Gstt1,1866,False,True,False,False,46.62
662,ENSMUSG00000001665.12,Gstt3,5737,False,True,False,False,49.12
666,ENSMUSG00000001666.9,Ddt,1223,False,True,False,False,53.32
667,ENSMUSG00000001670.14,Tat,2554,False,True,False,False,45.34
668,ENSMUSG00000001672.15,Marveld3,4203,False,True,False,False,48.79999999999999
670,ENSMUSG00000001674.12,Ddx18,2824,False,True,False,False,46.3
673,ENSMUSG00000001687.16,Ubl3,12781,False,True,False,False,42.33
676,ENSMUSG00000001700.11,Gramd2b,8751,False,True,False,False,43.58
679,ENSMUSG00000001707.9,Eef1e1,3707,False,True,False,False,44.24
681,ENSMUSG00000001729.15,Akt1,5465,False,True,False,False,57.70000000000001
684,ENSMUSG00000001739.15,Cldn15,3810,False,True,False,False,51.6
686,ENSMUSG00000001741.13,Il16,10143,False,True,False,False,45.12
689,ENSMUSG00000001750.17,Tcirg1,7432,False,False,False,False,53.89
692,ENSMUSG00000001751.10,Naglu,3806,False,True,False,False,53.06
694,ENSMUSG00000001755.13,Coasy,4101,False,True,False,False,55.44
696,ENSMUSG00000001761.8,Smo,6281,False,False,False,False,48.36
698,ENSMUSG00000001763.15,Tspan33,6806,False,True,False,False,48.29
700,ENSMUSG00000001767.6,Crnkl1,4386,False,True,False,False,43.23
702,ENSMUSG00000001768.17,Rin2,12523,False,False,False,False,44.91
705,ENSMUSG00000001773.15,Folh1,4016,False,True,False,False,35.36
707,ENSMUSG00000001774.9,Chordc1,9022,False,True,False,False,37.71
710,ENSMUSG00000001783.4,Rtcb,2833,False,True,False,False,43.68
712,ENSMUSG00000001785.14,Pwp1,3648,False,True,False,False,44.02
715,ENSMUSG00000001786.15,Fbxo7,12314,False,True,False,False,42.160000000000004
719,ENSMUSG00000001794.14,Capns1,5391,False,False,False,False,50.01
722,ENSMUSG00000001802.17,Lrp3,7092,False,False,False,False,54.68
725,ENSMUSG00000001804.10,Dsg4,3478,False,True,False,False,40.54
726,ENSMUSG00000001815.16,Evx2,5338,False,True,False,False,50.78
727,ENSMUSG00000001819.5,Hoxd13,2483,False,True,False,False,46.17
728,ENSMUSG00000001823.6,Hoxd12,2534,False,True,False,False,54.21
729,ENSMUSG00000001827.13,Folr1,5522,False,True,False,False,46.35
731,ENSMUSG00000001829.18,Clpb,13738,False,False,False,False,46.32
735,ENSMUSG00000001833.18,Septin7,16551,False,True,False,False,35.94
738,ENSMUSG00000001844.11,Zdhhc4,7041,False,True,False,False,49.8
742,ENSMUSG00000001847.15,Rac1,6397,False,True,False,False,47.12
744,ENSMUSG00000001855.16,Nup214,13674,False,True,False,False,45.88
747,ENSMUSG00000001864.14,Aif1l,6190,False,True,False,False,52.11
750,ENSMUSG00000001865.3,Cpa3,1517,False,True,False,False,37.4
752,ENSMUSG00000001870.17,Ltbp1,16605,False,True,False,False,42.66
755,ENSMUSG00000001891.17,Ugp2,4274,False,True,False,False,39.6
757,ENSMUSG00000001901.16,Kcnh6,4903,False,True,False,False,50.92
760,ENSMUSG00000001909.17,Trmt1,14320,False,False,False,False,51.34
764,ENSMUSG00000001910.6,Nacc1,7062,False,True,False,False,50.66
765,ENSMUSG00000001911.17,Nfix,8363,False,False,False,False,53.14
768,ENSMUSG00000001918.18,Slc1a5,6902,False,True,False,False,50.63
771,ENSMUSG00000001924.16,Uba1,5366,False,True,False,False,46.94
773,ENSMUSG00000001930.18,Vwf,19829,False,True,False,False,48.13
777,ENSMUSG00000001942.9,Siae,14147,False,True,False,False,42.36
779,ENSMUSG00000001943.9,Vsig2,3148,False,True,False,False,48.76
781,ENSMUSG00000001946.15,Esam,3420,False,True,False,False,48.41
784,ENSMUSG00000001948.11,Spa17,1346,False,True,False,False,38.21
786,ENSMUSG00000001962.9,Fam50a,3119,False,True,False,False,48.98
788,ENSMUSG00000001964.15,Emd,4663,False,True,False,False,46.56
791,ENSMUSG00000001983.8,Taco1,1383,False,True,False,False,46.69
792,ENSMUSG00000001985.10,Grik3,8973,False,True,False,False,50.31
793,ENSMUSG00000001986.17,Gria3,18343,False,False,False,False,38.76
796,ENSMUSG00000001988.10,Npas1,4615,False,True,False,False,52.76
798,ENSMUSG00000001995.10,Sipa1l2,13863,False,True,False,False,49.31
800,ENSMUSG00000001998.16,Ap4e1,11675,False,False,False,False,41.28
803,ENSMUSG00000001999.16,Blvra,2851,False,False,False,False,44.0
805,ENSMUSG00000002006.13,Pdzd4,3970,False,True,False,False,45.8
806,ENSMUSG00000002007.6,Srpk3,4226,False,True,False,False,53.68
808,ENSMUSG00000002010.18,Idh3g,5460,False,True,False,False,47.41
811,ENSMUSG00000002012.14,Pnck,2938,False,True,False,False,57.25
813,ENSMUSG00000002014.13,Ssr4,7413,False,True,False,False,50.96
815,ENSMUSG00000002015.6,Bcap31,1219,False,True,False,False,43.49
816,ENSMUSG00000002017.11,Fam98a,6110,False,True,False,False,42.35
819,ENSMUSG00000002020.16,Ltbp2,13615,False,True,False,False,49.92
821,ENSMUSG00000002028.14,Kmt2a,20241,False,True,False,False,45.68
823,ENSMUSG00000002031.14,Ift46,11684,False,False,False,False,45.24
826,ENSMUSG00000002032.18,Tmem25,8454,False,False,False,False,52.41
828,ENSMUSG00000002033.15,Cd3g,3580,False,True,False,False,44.35999999999999
830,ENSMUSG00000002043.18,Trappc6a,3450,False,False,False,False,52.910000000000004
833,ENSMUSG00000002052.7,Supt6,7914,False,True,False,False,46.39
835,ENSMUSG00000002055.10,Spag5,8229,False,True,False,False,45.73
838,ENSMUSG00000002057.5,Foxn1,3214,False,True,False,False,52.41
839,ENSMUSG00000002058.14,Unc119,6448,False,True,False,False,56.46999999999999
841,ENSMUSG00000002059.19,Rab34,5393,False,True,False,False,56.64
843,ENSMUSG00000002064.11,Sdf2,2621,False,True,False,False,44.57
846,ENSMUSG00000002068.17,Ccne1,3757,False,True,False,False,47.45
850,ENSMUSG00000002076.13,Hsf2bp,5220,False,True,False,False,44.669999999999995
852,ENSMUSG00000002083.14,Bbc3,3007,False,True,False,False,57.65
